原始名称	标准名称	映射规则	频次	来源
急性肾功能不全	急性肾功能不全	原始名称	3	admission,discharge
急性胃炎	急性胃炎	原始名称	3	discharge
恶性心包积液	心包积液	同义词映射	3	admission,discharge
恶性肿瘤放射治疗	恶性肿瘤放射治疗	原始名称	3	admission,discharge
感染	感染	原始名称	3	discharge
慢性子宫颈炎	宫颈炎	同义词映射	3	discharge
慢性肠炎	慢性肠炎	原始名称	3	discharge
慢性萎缩性胃炎	慢性萎缩性胃炎	原始名称	3	discharge
慢性阑尾炎	慢性阑尾炎	原始名称	3	discharge
房间隔缺损	房间隔缺损	原始名称	3	discharge
手术前恶性肿瘤化学治疗	恶性肿瘤术前化疗	治疗状态归一	3	discharge
支气管哮喘	支气管哮喘	原始名称	3	discharge
支气管恶性肿瘤	支气管恶性肿瘤	原始名称	3	admission,discharge
放射性咽炎	放射性咽炎	原始名称	3	discharge
未分化肉瘤	未分化肉瘤	原始名称	3	admission,discharge
桥本甲状腺炎	桥本甲状腺炎	原始名称	3	discharge
梅毒	梅毒	原始名称	3	admission,discharge
横纹肌肉瘤	横纹肌肉瘤	原始名称	3	admission
法特壶腹恶性肿瘤	法特壶腹恶性肿瘤	原始名称	3	admission,discharge
消化道出血(？)	消化道出血	基础规范化	3	admission
混合性酸碱平衡失调	混合性酸碱平衡失调	原始名称	3	discharge
混合痔	混合痔	原始名称	3	discharge
滑膜肉瘤	滑膜肉瘤	原始名称	3	admission
特发性门脉高压	特发性门脉高压	原始名称	3	admission,discharge
癔症	癔症	原始名称	3	discharge
直肠肿瘤	直肠肿瘤	原始名称	3	admission
眩晕综合征	眩晕	同义词映射	3	admission,discharge
睡眠障碍	睡眠障碍	原始名称	3	discharge
神经损伤	神经损伤	原始名称	3	admission,discharge
窦性停搏	窦性停搏	原始名称	3	discharge
糖尿病性周围神经病	糖尿病性周围神经病	原始名称	3	discharge
糖尿病性肾病	糖尿病性肾病	原始名称	3	discharge
糖尿病肾病I期	糖尿病肾病	同义词映射	3	discharge
继发性糖尿病	继发性糖尿病	原始名称	3	discharge
维生素B12缺乏	维生素B12缺乏	原始名称	3	admission,discharge
耻骨骨折	耻骨骨折	原始名称	3	admission,discharge
肋间神经痛	肋间神经痛	原始名称	3	admission,discharge
肝动脉栓塞	肝动脉栓塞	原始名称	3	discharge
肝术后	肝术后	原始名称	3	admission,discharge
肝脓肿(？)	肝脓肿	基础规范化	3	admission
肠胀气	肠胀气	原始名称	3	admission,discharge
肩关节痛	肩关节痛	原始名称	3	admission,discharge
肺原位癌	肺原位癌	原始名称	3	admission,discharge
肺部重症感染	肺部感染	解剖方位归一	3	admission,discharge
肾盂扩张	肾盂扩张	原始名称	3	admission,discharge
肾肿物	肾占位性病变	同义词映射	3	discharge
胃原位癌	胃原位癌	原始名称	3	admission,discharge
胆管囊肿	胆管囊肿	原始名称	3	admission,discharge
胆管结石	胆管结石	原始名称	3	discharge
胆道感染	胆道感染	原始名称	3	admission,discharge
胫骨骨折	胫骨骨折	原始名称	3	admission,discharge
胸壁恶性黑色素瘤	恶性黑色素瘤	同义词映射	3	admission,discharge
脊髓灰质炎后脊柱侧弯	脊柱侧弯	同义词映射	3	discharge
脑和脑膜继发性恶性肿瘤	脑继发恶性肿瘤	解剖方位归一	3	discharge
脑疝	脑疝	原始名称	3	discharge
脑白质病	脑白质病	原始名称	3	discharge
脑缺血灶	脑缺血灶	原始名称	3	discharge
脾梗死	脾梗死	原始名称	3	discharge
腋下淋巴结肿大	腋下淋巴结肿大	原始名称	3	admission,discharge
腰椎骨质增生	腰椎骨质增生	原始名称	3	admission,discharge
膀胱炎	膀胱炎	原始名称	3	discharge
膝关节退行性病变	膝关节退行性病变	原始名称	3	discharge
自体免疫性脑炎	自体免疫性脑炎	原始名称	3	admission,discharge
自身免疫相关性脑病	自身免疫性脑炎	同义词映射	3	discharge
贲门继发恶性肿瘤	贲门继发恶性肿瘤	原始名称	3	discharge
贲门肿瘤	贲门肿瘤	原始名称	3	admission,discharge
贲门胃体恶性肿瘤	贲门恶性肿瘤	解剖方位归一	3	admission,discharge
输尿管支架置入术后	输尿管支架置入术后状态	同义词映射	3	admission,discharge
输尿管结石	输尿管结石	原始名称	3	discharge
输尿管造术状态	输尿管造口状态	同义词映射	3	discharge
重症肺炎	重症肺炎	原始名称	3	admission,discharge
错构瘤病	错构瘤病	原始名称	3	discharge
门静脉栓塞	门静脉血栓形成	同义词映射	3	discharge
陈旧性胸膜结核	结核性胸膜炎	同义词映射	3	discharge
非霍奇金淋巴瘤(B细胞型)	非霍奇金淋巴瘤	基础规范化	3	admission,discharge
颅内继发恶性肿瘤	颅内继发恶性肿瘤	原始名称	3	discharge
颅骨继发恶性肿瘤	颅骨继发恶性肿瘤	原始名称	3	admission,discharge
颈部继发性恶性肿瘤	颈部继发性恶性肿瘤	原始名称	3	discharge
骨折术后	骨折术后	原始名称	3	admission,discharge
骨盆骨折	骨盆骨折	原始名称	3	discharge
骶骨继发恶性肿瘤	骶骨继发恶性肿瘤	原始名称	3	discharge
高血压病2级(低危)	高血压2级	同义词映射	3	admission,discharge
鼻息肉	鼻息肉	原始名称	3	discharge
B-细胞淋巴瘤	B细胞淋巴瘤	同义词映射	2	discharge
Ⅱ度子宫脱垂	Ⅱ度子宫脱垂	原始名称	2	admission,discharge
Ⅲ度房室传导阻滞	Ⅲ度房室传导阻滞	原始名称	2	admission,discharge
上腔静脉血栓形成	上腔静脉血栓形成	原始名称	2	admission,discharge
上颌窦恶性肿瘤	上颌窦恶性肿瘤	原始名称	2	admission,discharge
下肢动脉粥样硬化	下肢动脉粥样硬化	原始名称	2	discharge
下肢肿胀	下肢肿胀	原始名称	2	admission,discharge
下肢软组织感染	软组织感染	同义词映射	2	discharge
下肢骨折	下肢骨折	原始名称	2	discharge
丙型肝炎后肝硬化失代偿期	丙型肝炎肝硬化失代偿期	同义词映射	2	discharge
中枢性面神经麻痹	面神经炎	同义词映射	2	discharge
乳腺良性肿瘤	乳腺良性肿瘤	原始名称	2	admission,discharge
人类免疫缺陷病毒\[HIV\]病	人类免疫缺陷病毒\病	基础规范化	2	admission,discharge
低体温	低体温	原始名称	2	admission,discharge
低氧血症	低氧血症	原始名称	2	discharge
低血容量	低血容量	原始名称	2	admission,discharge
低血糖性昏迷	低血糖性昏迷	原始名称	2	admission,discharge
侵袭性NK细胞白血病	侵袭性NK细胞白血病	原始名称	2	admission,discharge
全心衰竭	心力衰竭	同义词映射	2	discharge
全身性疼痛	全身性疼痛	原始名称	2	admission,discharge
全身炎症反应综合征	全身炎症反应综合征	原始名称	2	admission,discharge
冠状动脉缺血	冠状动脉缺血	原始名称	2	discharge
创伤性脑梗塞	创伤性脑梗死	基础规范化	2	discharge
前列腺肿物	前列腺占位性病变	同义词映射	2	admission,discharge
前纵隔恶性肿瘤	纵隔恶性肿瘤	同义词映射	2	admission,discharge
动态未定或动态未知的肿瘤	动态未定或动态未知的肿瘤	原始名称	2	discharge
化脓性牙龈炎	牙龈炎	同义词映射	2	admission,discharge
十二指肠炎	十二指肠炎	原始名称	2	discharge
十二指肠继发恶性肿瘤	十二指肠继发恶性肿瘤	原始名称	2	discharge
半月板损伤	半月板损伤	原始名称	2	admission,discharge
单侧腹股沟斜疝	腹股沟斜疝	同义词映射	2	admission,discharge
卵巢冠恶性肿瘤	卵巢冠恶性肿瘤	原始名称	2	admission,discharge
卵巢占位性病变	卵巢占位性病变	原始名称	2	admission,discharge
口底恶性肿瘤	口底恶性肿瘤	原始名称	2	admission,discharge
口腔粘膜损害	口腔黏膜损害	基础规范化	2	discharge
右肺上叶恶性肿瘤	肺恶性肿瘤	解剖方位归一	2	admission,discharge
右肺中叶恶性肿瘤	肺恶性肿瘤	解剖方位归一	2	admission,discharge
呕血	呕血	原始名称	2	admission,discharge
周围T细胞淋巴瘤	外周T细胞淋巴瘤	同义词映射	2	admission,discharge
呼吸心跳骤停	呼吸心跳骤停	原始名称	2	discharge
喉肿瘤	喉肿瘤	原始名称	2	admission,discharge
嗅神经恶性肿瘤	嗅神经恶性肿瘤	原始名称	2	admission,discharge
嗜酸细胞白血病	嗜酸性粒细胞白血病	同义词映射	2	discharge
囊腺瘤	囊腺瘤	原始名称	2	admission,discharge
回盲部淋巴瘤	回盲部淋巴瘤	原始名称	2	admission,discharge
坠积性肺炎	坠积性肺炎	原始名称	2	discharge
增生性牙龈炎	牙龈炎	同义词映射	2	discharge
声带麻痹	声带麻痹	原始名称	2	admission,discharge
壶腹部肿瘤	壶腹部肿瘤	原始名称	2	admission,discharge
多处损伤	多处损伤	原始名称	2	admission,discharge
大细胞神经内分泌癌	大细胞神经内分泌癌	原始名称	2	admission,discharge
头、面和颈部淋巴结继发性的恶性肿瘤	头颈部淋巴结继发恶性肿瘤	同义词映射	2	discharge
子宫息肉	子宫息肉	原始名称	2	discharge
子宫恶性肿瘤史	子宫恶性肿瘤个人史	同义词映射	2	admission,discharge
孕12周	妊娠	同义词映射	2	admission,discharge
室上性心动过速	室上性心动过速	原始名称	2	discharge
宫颈内膜原位癌	宫颈原位癌	同义词映射	2	admission,discharge
导管相关性尿路感染	导管相关性尿路感染	原始名称	2	admission,discharge
小脑肿瘤(术后)	小脑肿瘤	基础规范化	2	admission
尿道出血	尿道出血	原始名称	2	admission,discharge
左肺上叶恶性肿瘤	肺恶性肿瘤	解剖方位归一	2	discharge
带状疱疹伴有其他并发症	带状疱疹伴有其他并发症	原始名称	2	admission,discharge
幽门梗阻	幽门梗阻	原始名称	2	discharge
应激性高血糖状态	高血糖	同义词映射	2	admission,discharge
心功能Ⅱ级(NYHA分级)	心功能Ⅱ级	基础规范化	2	admission,discharge
急性化脓性胆囊炎	急性化脓性胆囊炎	原始名称	2	discharge
急性咽喉炎	急性咽喉炎	原始名称	2	admission,discharge
急性心力衰竭	心力衰竭	同义词映射	2	discharge
急性心肌梗死	急性心肌梗死	原始名称	2	discharge
急性心肌缺血	心肌缺血	同义词映射	2	admission,discharge
急性早幼粒细胞性白血病	急性早幼粒细胞白血病	同义词映射	2	admission
急性肠炎	急性肠炎	原始名称	2	discharge
急性脊髓灰质炎	急性脊髓灰质炎	原始名称	2	discharge
急性脑血管病	急性脑血管病	原始名称	2	discharge
恶心和呕吐	恶心呕吐	同义词映射	2	discharge
恶性贫血	恶性贫血	原始名称	2	discharge
意识丧失	意识障碍	同义词映射	2	admission,discharge
感染性腹泻	感染性腹泻	原始名称	2	discharge
慢性乙型丁型病毒性肝炎	慢性乙型丁型病毒性肝炎	原始名称	2	admission,discharge
慢性单核细胞白血病	慢性单核细胞白血病	原始名称	2	discharge
慢性咽炎	慢性咽炎	原始名称	2	discharge
慢性心房颤动	心房颤动	同义词映射	2	discharge
慢性硬膜下血肿	慢性硬膜下血肿	原始名称	2	discharge
慢性粒细胞性白血病伴缓解(急性变)	慢性粒细胞性白血病伴缓解	基础规范化	2	discharge
慢性肝炎	慢性肝炎	原始名称	2	discharge
慢性肾衰竭(肾功能不全)合并贫血	慢性肾衰竭合并贫血	基础规范化	2	discharge
慢性胆囊炎急性发作	慢性胆囊炎急性发作	原始名称	2	admission,discharge
慢性胰腺炎	慢性胰腺炎	原始名称	2	admission,discharge
慢性鼻炎	慢性鼻炎	原始名称	2	admission,discharge
慢性鼻窦炎	慢性鼻窦炎	原始名称	2	discharge
手术后胃瘫综合征	手术后胃瘫综合征	原始名称	2	discharge
扩张型心肌病	扩张型心肌病	原始名称	2	admission
抽搐状态	抽搐	同义词映射	2	discharge
支气管瘘	支气管瘘	原始名称	2	discharge
支气管继发恶性肿瘤	支气管继发恶性肿瘤	原始名称	2	discharge
放射性直肠炎	放射性直肠炎	原始名称	2	discharge
新型冠状病毒感染	新型冠状病毒感染	原始名称	2	discharge
月经过多	月经过多	原始名称	2	discharge
枕叶出血	枕叶出血	原始名称	2	admission,discharge
桡骨远端骨折	桡骨远端骨折	原始名称	2	discharge
椎管内恶性肿瘤	椎管内恶性肿瘤	原始名称	2	discharge
残胃炎	残胃炎	原始名称	2	discharge
浆细胞性乳腺炎	浆细胞性乳腺炎	原始名称	2	admission,discharge
浆细胞白血病	浆细胞白血病	原始名称	2	discharge
浆细胞骨髓瘤[浆细胞瘤]	浆细胞骨髓瘤	基础规范化	2	admission
消瘦	消瘦	原始名称	2	admission,discharge
淋巴细胞白血病	淋巴细胞白血病	原始名称	2	discharge
深昏迷	昏迷	同义词映射	2	discharge
混合型过敏性紫癜	过敏性紫癜	同义词映射	2	admission,discharge
湿疹	湿疹	原始名称	2	discharge
溃疡性结肠炎	溃疡性结肠炎	原始名称	2	discharge
焦虑性抑郁症	焦虑抑郁状态	同义词映射	2	discharge
牙龈溃疡	口腔溃疡	同义词映射	2	discharge
牙龈瘤	牙龈瘤	原始名称	2	admission,discharge
牙龈脓肿	牙龈脓肿	原始名称	2	admission,discharge
瓦登伯格综合征	瓦登伯格综合征	原始名称	2	discharge
甲状腺功能亢进史	甲状腺功能亢进症个人史	同义词映射	2	admission,discharge
甲状腺囊肿	甲状腺囊肿	原始名称	2	discharge
甲状腺肿物	甲状腺占位性病变	同义词映射	2	admission,discharge
白癜风	白癜风	原始名称	2	discharge
皮肤肿物	皮肤占位性病变	同义词映射	2	admission,discharge
皮脂腺囊肿	皮脂腺囊肿	原始名称	2	discharge
直肠乙状结肠连接处恶性肿瘤	直肠乙状结肠连接处恶性肿瘤	原始名称	2	admission
直肠肿物	直肠肿物	原始名称	2	admission,discharge
直肠阴道瘘	直肠阴道瘘	原始名称	2	discharge
眼底出血	眼底出血	原始名称	2	admission,discharge
神经纤维瘤	神经纤维瘤	原始名称	2	admission
管状腺瘤	管状腺瘤	原始名称	2	admission
精神障碍	精神障碍	原始名称	2	discharge
糖尿病性视网膜病变	糖尿病性视网膜病变	原始名称	2	discharge
经典型霍奇金淋巴瘤	霍奇金淋巴瘤	同义词映射	2	discharge
结肠原位癌	结肠原位癌	原始名称	2	admission,discharge
结肠术后	结肠术后	原始名称	2	discharge
结肠腺瘤样息肉病	结肠息肉病	同义词映射	2	discharge
结肠黑变病	结肠黑变病	原始名称	2	discharge
结膜出血	结膜出血	原始名称	2	discharge
继发性高血压	继发性高血压	原始名称	2	discharge
肝内胆管结石	肝内胆管结石	原始名称	2	discharge
肝恶性细胞瘤	肝恶性肿瘤	同义词映射	2	admission
肝炎后肝硬化失代偿期	肝炎后肝硬化失代偿期	原始名称	2	admission,discharge
肝肾综合征	肝肾综合征	原始名称	2	discharge
肝脾大	肝脾大	原始名称	2	discharge
肝错构瘤	肝错构瘤	原始名称	2	discharge
肝门胆管恶性肿瘤	肝门胆管恶性肿瘤	原始名称	2	admission,discharge
肠道菌群失调	肠道菌群失调	原始名称	2	discharge
股骨干骨折	股骨干骨折	原始名称	2	discharge
股骨远端骨折	股骨远端骨折	原始名称	2	discharge
肱骨干骨折	肱骨干骨折	原始名称	2	admission,discharge
肺动脉栓塞	肺动脉栓塞	原始名称	2	admission,discharge
肺性脑病	肺性脑病	原始名称	2	discharge
肺术后	肺术后	原始名称	2	admission,discharge
肺炎克雷伯杆菌感染	肺炎克雷伯杆菌感染	原始名称	2	discharge
肾上腺术后	肾上腺术后	原始名称	2	discharge
肾上腺皮质功能减退症	肾上腺皮质功能减退症	原始名称	2	admission,discharge
肾上腺皮质恶性肿瘤	肾上腺皮质恶性肿瘤	原始名称	2	admission,discharge
肾上腺皮质腺瘤	肾上腺皮质腺瘤	原始名称	2	admission,discharge
肾上腺结节性增生	肾上腺结节性增生	原始名称	2	discharge
肾性贫血(？)	肾性贫血	基础规范化	2	admission
肾术后	肾术后	原始名称	2	admission,discharge
肾炎综合征	肾炎综合征	原始名称	2	discharge
肾积水伴输尿管结石	肾积水伴输尿管结石	原始名称	2	admission,discharge
肾输尿管恶性肿瘤	肾输尿管恶性肿瘤	原始名称	2	admission,discharge
胃底静脉曲张	食管胃底静脉曲张	同义词映射	2	admission,discharge
胃恶性肿瘤(多发转移)	胃恶性肿瘤	基础规范化	2	admission
胃潴留	胃潴留	原始名称	2	discharge
胃造口状态	胃造口状态	原始名称	2	discharge
胆囊结石嵌顿	胆囊结石	同义词映射	2	admission,discharge
胆总管恶性肿瘤	胆总管恶性肿瘤	原始名称	2	admission,discharge
胆总管结石	胆总管结石	原始名称	2	admission,discharge
胆汁反流	胆汁反流	原始名称	2	discharge
胆管出血	胆管出血	原始名称	2	admission,discharge
胆管支架置入术后	胆管支架置入术后状态	同义词映射	2	admission,discharge
胆管梗阻	胆管梗阻	原始名称	2	admission,discharge
胆道恶性肿瘤	胆道恶性肿瘤	原始名称	2	admission,discharge
胚胎型横纹肌肉瘤	横纹肌肉瘤	同义词映射	2	admission
胰头肿块	胰头占位性病变	同义词映射	2	admission,discharge
胰尾恶性肿瘤	胰尾恶性肿瘤	原始名称	2	admission,discharge
胰腺囊肿	胰腺囊肿	原始名称	2	discharge
胸腔占位性病变	胸腔占位性病变	原始名称	2	admission,discharge
胸部脊髓损伤	脊髓损伤	同义词映射	2	admission,discharge
脉络丛恶性肿瘤	脉络丛恶性肿瘤	原始名称	2	admission,discharge
脊柱侧弯	脊柱侧弯	原始名称	2	discharge
脊柱血管瘤	脊柱血管瘤	原始名称	2	discharge
脊髓受压	脊髓受压	原始名称	2	admission,discharge
脑肿物	脑占位性病变	同义词映射	2	discharge
脑肿瘤切除史	脑肿瘤个人史	同义词映射	2	discharge
脱髓鞘性白质脑病	脱髓鞘性脑病	同义词映射	2	discharge
腋下淋巴结继发恶性肿瘤	腋下淋巴结继发恶性肿瘤	原始名称	2	discharge
腋窝恶性肿瘤	腋窝恶性肿瘤	原始名称	2	admission,discharge
腹主动脉夹层	腹主动脉夹层	原始名称	2	admission,discharge
腹壁皮肤继发恶性肿瘤	皮肤继发恶性肿瘤	同义词映射	2	discharge
腹股沟恶性肿瘤	腹股沟恶性肿瘤	原始名称	2	discharge
腹股沟淋巴结继发恶性肿瘤	腹股沟淋巴结继发恶性肿瘤	原始名称	2	discharge
腹胀	腹胀	原始名称	2	admission,discharge
腹腔内淋巴结继发性的恶性肿瘤	腹腔淋巴结继发恶性肿瘤	同义词映射	2	discharge
腹部食管恶性肿瘤	腹部食管恶性肿瘤	原始名称	2	discharge
膀胱周围炎	膀胱周围炎	原始名称	2	admission,discharge
膈膨升	膈膨升	原始名称	2	discharge
膝关节病	膝关节病	原始名称	2	discharge
膝关节积液	膝关节积液	原始名称	2	discharge
自身免疫性溶血性贫血	自身免疫性溶血性贫血	原始名称	2	admission,discharge
菌血症	菌血症	原始名称	2	discharge
营养性慢性贫血	营养性贫血	同义词映射	2	admission,discharge
血管性紫癜	血管性紫癜	原始名称	2	admission,discharge
贲门梗阻	贲门梗阻	原始名称	2	discharge
转移性小叶浸润性癌	转移性乳腺癌	同义词映射	2	admission
输尿管狭窄	输尿管狭窄	原始名称	2	admission,discharge
运动障碍	运动障碍	原始名称	2	discharge
进行性肌营养不良	进行性肌营养不良	原始名称	2	admission,discharge
酒精性肝硬化	酒精性肝硬化	原始名称	2	admission,discharge
重叠综合征，其他的	重叠综合征	基础规范化	2	admission
锁骨上继发恶性肿瘤	锁骨上继发恶性肿瘤	原始名称	2	admission,discharge
间质性瘤	间质性瘤	原始名称	2	admission,discharge
阑尾炎，其他的	阑尾炎	基础规范化	2	discharge
阴茎原位癌	阴茎原位癌	原始名称	2	admission
阴茎肿物	阴茎肿物	原始名称	2	admission,discharge
阴道外阴恶性肿瘤	外阴阴道恶性肿瘤	同义词映射	2	admission,discharge
阴道炎	阴道炎	原始名称	2	discharge
阴道肿物	阴道占位性病变	同义词映射	2	admission,discharge
附件继发恶性肿瘤	附件继发恶性肿瘤	原始名称	2	discharge
陈旧性前间壁心肌梗死	陈旧性心肌梗死	同义词映射	2	discharge
陈旧性股骨头骨折	股骨头骨折	同义词映射	2	admission,discharge
陈旧性骨盆骨折	骨盆骨折	同义词映射	2	discharge
难治性白血病	难治性白血病	原始名称	2	admission,discharge
静脉曲张	静脉曲张	原始名称	2	discharge
面单纯疱疹	面单纯疱疹	原始名称	2	admission,discharge
顶骨恶性肿瘤	顶骨恶性肿瘤	原始名称	2	admission,discharge
颅咽管肿瘤	颅咽管瘤	同义词映射	2	admission,discharge
颈总动脉斑块	颈动脉粥样硬化	同义词映射	2	admission
颈部局部肿物	颈部占位性病变	同义词映射	2	admission,discharge
颈部肿物	颈部占位性病变	同义词映射	2	admission,discharge
颌下淋巴结肿大	颌下淋巴结肿大	原始名称	2	admission,discharge
颌下腺恶性肿瘤	颌下腺恶性肿瘤	原始名称	2	admission,discharge
颌下间隙感染	颌面部间隙感染	同义词映射	2	admission,discharge
食管支架置入术后	食管支架置入术后状态	同义词映射	2	discharge
食管梗阻	食管梗阻	原始名称	2	admission,discharge
食管狭窄	食管狭窄	原始名称	2	admission,discharge
食管瘘	食管瘘	原始名称	2	discharge
食管胃底静脉曲张破裂出血	食管胃底静脉曲张破裂出血	原始名称	2	admission,discharge
骨质疏松	骨质疏松	原始名称	2	discharge
骨软骨瘤病	骨软骨瘤病	原始名称	2	admission
骨髓坏死	骨髓坏死	原始名称	2	admission,discharge
髂骨继发恶性肿瘤	髂骨继发恶性肿瘤	原始名称	2	discharge
高胆固醇血症	高胆固醇血症	原始名称	2	discharge
高血压急症	高血压急症	原始名称	2	admission,discharge
高血压病1级(中危)	高血压1级	同义词映射	2	discharge
高血压病3级(中危)	高血压3级	同义词映射	2	discharge
鼻腔继发恶性肿瘤	鼻腔继发恶性肿瘤	原始名称	2	discharge
2型糖尿病性酮症	糖尿病酮症	同义词映射	1	discharge
Ⅱ型糖原贮积症	Ⅱ型糖原贮积症	原始名称	1	discharge
三叉神经炎	三叉神经炎	原始名称	1	discharge
三叉神经痛	三叉神经痛	原始名称	1	discharge
上皮样细胞肉瘤	上皮样细胞肉瘤	原始名称	1	admission
上肢恶性肿瘤	上肢恶性肿瘤	原始名称	1	discharge
上肢骨折	上肢骨折	原始名称	1	discharge
下肢动脉血栓形成	下肢动脉血栓形成	原始名称	1	discharge
下肢局部肿物	下肢占位性病变	同义词映射	1	admission
下肢损伤	下肢损伤	原始名称	1	discharge
下肢静脉曲张(术后)	下肢静脉曲张	基础规范化	1	admission
不全性带状疱疹	不全性带状疱疹	原始名称	1	discharge
丘脑出血	脑出血	同义词映射	1	discharge
中性粒细胞减少症	中性粒细胞减少症	原始名称	1	discharge
中昏迷	昏迷	同义词映射	1	discharge
乙状结肠息肉	乙状结肠息肉	原始名称	1	discharge
乳房恶性肿瘤	乳腺恶性肿瘤	同义词映射	1	discharge
乳房结节	乳腺结节	同义词映射	1	discharge
乳腺恶性肿瘤(？)	乳腺恶性肿瘤	基础规范化	1	admission
乳腺炎	乳腺炎	原始名称	1	discharge
乳腺钙化	乳腺钙化	原始名称	1	admission
二尖瓣脱垂伴关闭不全	二尖瓣脱垂伴关闭不全	原始名称	1	discharge
亚临床甲状腺功能亢进	亚临床甲状腺功能亢进	原始名称	1	discharge
亚急性甲状腺炎	亚急性甲状腺炎	原始名称	1	discharge
亚急性髓系白血病	亚急性髓系白血病	原始名称	1	admission
人类免疫缺陷病毒\[HIV\]病造成的其他类型的非霍奇金淋巴瘤	人类免疫缺陷病毒\病造成的其他类型的非霍奇金淋巴瘤	基础规范化	1	discharge
人类免疫缺陷病毒\[HIV\]病造成的多发性恶性肿瘤	人类免疫缺陷病毒\病造成的多发性恶性肿瘤	基础规范化	1	discharge
伴环形铁粒幼红细胞的难治性贫血	骨髓增生异常综合征	同义词映射	1	discharge
侵袭性葡萄胎	侵袭性葡萄胎	原始名称	1	discharge
先天性多发性骨软骨瘤	先天性多发性骨软骨瘤	原始名称	1	discharge
先天性多发性骨软骨瘤病	骨软骨瘤病	同义词映射	1	discharge
先天性子宫缺失	先天性子宫缺失	原始名称	1	discharge
免疫缺陷	免疫缺陷	原始名称	1	discharge
全组鼻窦炎	鼻窦炎	同义词映射	1	discharge
具有心脏起搏器	心脏起搏器植入术后状态	同义词映射	1	discharge
冠状动脉搭桥术后	冠状动脉旁路移植术后状态	同义词映射	1	discharge
凝血障碍	凝血障碍	原始名称	1	admission
出血	出血	原始名称	1	discharge
出血性脑梗死	出血性脑梗死	原始名称	1	discharge
分支传导阻滞，其他的	分支传导阻滞	基础规范化	1	admission
创伤性失明	创伤性失明	原始名称	1	discharge
创伤性颅内出血	创伤性颅内出血	原始名称	1	discharge
创伤性颅内血肿	创伤性颅内血肿	原始名称	1	discharge
前体B细胞淋巴细胞白血病	前体B细胞急性淋巴细胞白血病	同义词映射	1	discharge
前体T细胞淋巴细胞白血病	前体T细胞急性淋巴细胞白血病	同义词映射	1	discharge
前列腺脓肿	前列腺脓肿	原始名称	1	discharge
副乳腺腺病	副乳腺腺病	原始名称	1	discharge
功能性腹泻	功能性腹泻	原始名称	1	discharge
动脉瘤	动脉瘤	原始名称	1	discharge
包裹性胸膜炎	胸膜炎	同义词映射	1	discharge
医源性糖尿病	医源性糖尿病	原始名称	1	discharge
十二指肠术后	十二指肠术后	原始名称	1	discharge
十二指肠肿瘤	十二指肠肿瘤	原始名称	1	discharge
单侧卵巢切除术后状态	单侧卵巢切除术后状态	原始名称	1	discharge
单侧肺气肿	单侧肺气肿	原始名称	1	discharge
单发性浆细胞骨髓瘤	浆细胞骨髓瘤	同义词映射	1	discharge
单纯性牙周炎	单纯性牙周炎	原始名称	1	discharge
卵巢原位癌	卵巢原位癌	原始名称	1	discharge
卵巢恶性肿瘤(？)	卵巢恶性肿瘤	基础规范化	1	admission
卵巢脓肿	卵巢脓肿	原始名称	1	discharge
卵巢黄体破裂	卵巢黄体破裂	原始名称	1	discharge
原发性干燥综合征肾损害	原发性干燥综合征肾损害	原始名称	1	discharge
双侧输卵管卵巢切除术后状态	双侧输卵管卵巢切除术后状态	原始名称	1	discharge
反酸	反酸	原始名称	1	discharge
受压区压疮	压疮	同义词映射	1	discharge
口恶性肿瘤	口腔恶性肿瘤	同义词映射	1	discharge
口腔粘膜其他的损害	口腔黏膜损害	同义词映射	1	discharge
口腔黏膜出血	口腔黏膜出血	原始名称	1	discharge
右眼失明	失明	同义词映射	1	admission
右肺下叶恶性肿瘤	肺恶性肿瘤	解剖方位归一	1	discharge
后天性胆囊缺失	胆囊切除术后状态	同义词映射	1	discharge
呼吸停止	呼吸停止	原始名称	1	discharge
呼吸道合胞病毒感染	呼吸道合胞病毒感染	原始名称	1	admission
呼吸道真菌感染	肺真菌感染	同义词映射	1	discharge
喉肿物	喉占位性病变	同义词映射	1	admission
喘息性支气管肺炎	支气管肺炎	同义词映射	1	discharge
嗳气	嗳气	原始名称	1	discharge
回盲部肿物	回盲部占位性病变	同义词映射	1	discharge
坏死性筋膜炎	坏死性筋膜炎	原始名称	1	admission
坐骨骨折	坐骨骨折	原始名称	1	discharge
外周T细胞淋巴瘤	外周T细胞淋巴瘤	原始名称	1	admission
外周T细胞淋巴瘤(非特指型)	外周T细胞淋巴瘤	基础规范化	1	discharge
外耳道脓肿	外耳道脓肿	原始名称	1	discharge
外阴尖锐湿疣	尖锐湿疣	同义词映射	1	discharge
多发性肝囊肿	肝囊肿	同义词映射	1	admission
多发性骨髓瘤(？)	多发性骨髓瘤	基础规范化	1	admission
多处骨折	多处骨折	原始名称	1	discharge
多重感染的肺炎	多重感染的肺炎	原始名称	1	discharge
大脑动脉粥样硬化	脑动脉粥样硬化	同义词映射	1	discharge
大脑后动脉狭窄	脑动脉狭窄	同义词映射	1	discharge
头、面和颈部结缔组织和其他软组织的良性肿瘤	头、面和颈部结缔组织和其他软组织的良性肿瘤	原始名称	1	discharge
头晕	头晕	原始名称	1	discharge
头部痈	头部痈	原始名称	1	discharge
女性盆腔炎性疾病	盆腔炎性疾病	同义词映射	1	discharge
