原始名称	标准名称	映射规则	频次	来源
肺结核	肺结核	原始名称	27	admission,discharge
鼻窦炎	鼻窦炎	原始名称	27	admission,discharge
纵隔继发性恶性肿瘤	纵隔继发恶性肿瘤	同义词映射	26	admission,discharge
肺恶性肿瘤个人史	肺恶性肿瘤个人史	原始名称	26	admission,discharge
肾上腺恶性肿瘤	肾上腺恶性肿瘤	原始名称	26	admission,discharge
肾积水伴输尿管狭窄	肾积水伴输尿管狭窄	原始名称	26	admission,discharge
胃占位性病变	胃占位性病变	原始名称	26	admission,discharge
蛛网膜下出血	蛛网膜下腔出血	同义词映射	26	admission,discharge
乳腺术后	乳腺术后	原始名称	25	admission,discharge
儿童难治性血细胞减少	儿童难治性血细胞减少	原始名称	25	admission,discharge
右束支传导阻滞	右束支传导阻滞	原始名称	25	admission,discharge
周围性面神经麻痹	面神经炎	同义词映射	25	admission,discharge
肝衰竭	肝衰竭	原始名称	25	admission,discharge
肠道感染	肠道感染	原始名称	25	admission,discharge
胰腺占位性病变	胰腺占位性病变	原始名称	25	admission,discharge
过敏性紫癜	过敏性紫癜	原始名称	25	admission,discharge
锁骨上淋巴结继发恶性肿瘤	锁骨上淋巴结继发恶性肿瘤	原始名称	25	admission,discharge
为肿瘤化学治疗疗程	恶性肿瘤化学治疗	同义词映射	24	admission,discharge
子宫内膜癌	子宫内膜恶性肿瘤	同义词映射	24	admission
结肠息肉	结肠息肉	原始名称	24	admission,discharge
肺门淋巴结肿大	肺门淋巴结肿大	原始名称	24	admission,discharge
贫血性心脏病	贫血性心脏病	原始名称	24	admission,discharge
食管气管瘘	食管气管瘘	原始名称	24	admission,discharge
前列腺肿瘤	前列腺肿瘤	原始名称	23	admission,discharge
多发性脑梗死	脑梗死	同义词映射	23	admission,discharge
心功能Ⅳ级	心功能Ⅳ级	原始名称	23	discharge
恶性胃肠道间质性瘤	胃肠道间质瘤	同义词映射	23	admission,discharge
盆腔淋巴结肿大	盆腔淋巴结肿大	原始名称	23	admission,discharge
腮腺恶性肿瘤个人史	腮腺恶性肿瘤个人史	原始名称	23	admission,discharge
