# 西医病症标准化列表（共 1347 条唯一标准病症）
# 格式：标准名称 | 总频次
胸椎继发恶性肿瘤 | 15
胸腺恶性肿瘤 | 15
腹腔淋巴结继发恶性肿瘤 | 15
血小板减少性紫癜 | 15
血小板增多 | 15
鼻出血 | 15
T细胞淋巴瘤 | 14
咯血 | 14
急性单核细胞白血病 | 14
慢性胆囊炎 | 14
支气管哮喘 | 14
放射性食管炎 | 14
烟雾病 | 14
眩晕 | 14
眼恶性肿瘤 | 14
系统性红斑狼疮 | 14
继发性骨髓纤维化 | 14
肋骨继发恶性肿瘤 | 14
肝内胆管癌 | 14
肠道恶性肿瘤 | 14
肾积水伴肾结石 | 14
脂肪瘤 | 14
腹膜后淋巴结继发恶性肿瘤 | 14
锁骨骨折 | 14
门静脉高压 | 14
阴囊继发恶性肿瘤 | 14
EB病毒感染 | 13
下颌恶性肿瘤 | 13
低氯血症 | 13
免疫球蛋白缺乏 | 13
冠状动脉支架植入术后状态 | 13
十二指肠溃疡 | 13
口腔肿瘤 | 13
慢性结肠炎 | 13
截瘫 | 13
放疗后骨髓抑制 | 13
疝 | 13
症状性癫痫 | 13
直肠占位性病变 | 13
精神病个人史 | 13
结肠占位性病变 | 13
肺脓肿 | 13
血栓性静脉炎 | 13
阴道继发恶性肿瘤 | 13
下腔静脉血栓形成 | 12
下颌骨恶性肿瘤 | 12
中枢神经系统白血病 | 12
乙型肝炎后肝硬化失代偿期 | 12
乳头炎 | 12
咳嗽变异性哮喘 | 12
多囊肾 | 12
恶性肿瘤化学治疗后恢复期 | 12
拒绝医疗后离院 | 12
牙龈恶性肿瘤 | 12
病毒性肺炎 | 12
白细胞增多症 | 12
真菌感染 | 12
纵隔淋巴结继发恶性肿瘤 | 12
肝静脉血栓形成 | 12
肾炎 | 12
胆石症 | 12
腹腔淋巴瘤 | 12
输尿管继发恶性肿瘤 | 12
颊部恶性肿瘤 | 12
风湿性关节炎 | 12
前庭大腺囊肿 | 11
原发性血小板增多症 | 11
子宫腔积液 | 11
宫颈炎 | 11
小肠恶性肿瘤 | 11
急性胰腺炎 | 11
结缔组织病 | 11
胃食管反流病 | 11
腮腺肿瘤 | 11
腹泻 | 11
腹膜后恶性肿瘤 | 11
营养不良 | 11
蝶窦炎 | 11
门静脉瘤栓 | 11
