# 知识图谱疾病/病症列表 - 西医（共 1596 条）
# 格式：名称 | 来源 | 频次
电解质紊乱(低钾血症 低钠血症) | admission | 1
畸胎瘤 | discharge | 1
疱疹病毒感染 | discharge | 1
病毒性感染 | discharge | 1
病理性骨折，不可归类在他处者 | discharge | 1
痛风 | discharge | 1
癌性淋巴管炎 | discharge | 1
癫痫小发作[典型失神发作] | discharge | 1
癫痫样发作 | admission | 1
白内障术后(大泡性无晶状体的)角膜病变 | discharge | 1
白内障术后玻璃体综合征 | discharge | 1
白细胞分类计数异常 | admission | 1
白细胞异常 | discharge | 1
皮肤感染性窦道 | discharge | 1
皮肤纤维肉瘤 | admission | 1
直肠乙状结肠炎 | discharge | 1
直肠膀胱阴道瘘 | discharge | 1
眼睑水肿 | discharge | 1
睾丸炎 | discharge | 1
神经痛 | discharge | 1
神经胶质瘤 | admission | 1
神经节细胞瘤 | admission | 1
窦性静止 | admission | 1
精索鞘膜积液 | discharge | 1
糖尿病性酮症 | discharge | 1
紫癜 | admission | 1
细菌性感染 | discharge | 1
细菌性阴道炎 | discharge | 1
结外NK/T细胞淋巴瘤(鼻型) | discharge | 1
结核性胸膜炎 | discharge | 1
结缔组织恶性肿瘤 | discharge | 1
结缔组织炎 | discharge | 1
结肠吻合口炎 | discharge | 1
结肠息肉(EMR+APC+内镜) | admission | 1
结肠积气 | discharge | 1
结膜炎 | discharge | 1
继发性干燥综合征 | discharge | 1
继发性肺结核 | discharge | 1
继发性血小板减少 | discharge | 1
继发性血小板增多症 | discharge | 1
维生素B12缺乏症 | discharge | 1
缺血性心脏病 | discharge | 1
耐多种抗生素的菌株 | discharge | 1
耳聋 | admission | 1
耳部肿物 | discharge | 1
耳鸣 | discharge | 1
聋哑症 | discharge | 1
肋骨多处骨折 | discharge | 1
肋骨恶性肿瘤 | discharge | 1
肋骨肿瘤 | admission | 1
肌张力障碍 | discharge | 1
肌腱损伤 | discharge | 1
肛门周围溃疡 | discharge | 1
肛门直肠瘘 | discharge | 1
肝内及肝外胆管恶性肿瘤 | discharge | 1
肝功能异常 | admission | 1
肝功能检查的异常结果 | discharge | 1
肝囊性病 | discharge | 1
肝外胆管恶性肿瘤 | discharge | 1
肝性胸水 | admission | 1
肝硬化伴胃底静脉曲张 | discharge | 1
肝硬化伴胃底静脉曲张破裂出血 | discharge | 1
肝硬化伴食管静脉曲张破裂出血 | admission | 1
肝结节 | discharge | 1
肝继发恶性肿瘤(？) | admission | 1
肝门淋巴结肿大 | discharge | 1
肠坏死 | discharge | 1
肠梗阻(？) | admission | 1
肠破裂 | discharge | 1
肠系膜动脉栓塞伴肠坏死 | discharge | 1
股静脉血栓形成 | discharge | 1
股骨头无菌性坏死 | discharge | 1
股骨转子间骨折 | discharge | 1
肩周炎 | discharge | 1
肩胛骨恶性肿瘤 | discharge | 1
肱骨破坏 | discharge | 1
肺不张(左肺) | admission | 1
肺大泡 | admission | 1
肺恶性肿瘤(高度可疑) | admission | 1
肺脓肿不伴有肺炎 | discharge | 1
肾上腺囊肿 | discharge | 1
肾上腺增生 | discharge | 1
肾上腺增粗 | discharge | 1
肾上腺炎 | discharge | 1
肾上腺皮质腺癌 | admission | 1
肾占位性病变(？) | admission | 1
肾盂囊肿 | discharge | 1
肾盂继发恶性肿瘤 | discharge | 1
肾结石伴有输尿管结石 | discharge | 1
肾肥大 | discharge | 1
肿瘤内分泌治疗 | discharge | 1
胃底静脉曲张伴出血 | discharge | 1
胃痛 | admission | 1
胃癌伴出血 | discharge | 1
胃肠吻合口狭窄 | discharge | 1
胃肠道继发恶性肿瘤 | discharge | 1
胃胀气 | discharge | 1
胃造口维护 | discharge | 1
胃错构瘤 | discharge | 1
胆囊内胆汁淤积 | admission | 1
胆囊结石不伴有胆囊炎 | discharge | 1
胆囊肥大 | discharge | 1
胆囊肿物 | discharge | 1
胆囊肿瘤 | discharge | 1
胆总管梗阻 | discharge | 1
胰源性腹泻 | discharge | 1
胰腺原位癌 | admission | 1
胰腺坏死 | discharge | 1
胰腺萎缩 | discharge | 1
胸内淋巴结继发恶性肿瘤 | admission | 1
胸椎压缩性骨折 | discharge | 1
胸腔继发恶性肿瘤 | discharge | 1
胸腺瘤 | admission | 1
胸部损伤 | discharge | 1
胸闷 | discharge | 1
胸骨恶性肿瘤 | discharge | 1
脉络膜恶性肿瘤 | discharge | 1
脊柱肿瘤 | discharge | 1
脐部感染 | discharge | 1
脑内出血后遗症 | discharge | 1
脑出血恢复期 | discharge | 1
脑坏死 | discharge | 1
脑血管疾病，其他特指的 | discharge | 1
脑软化灶 | discharge | 1
脾术后 | discharge | 1
脾静脉栓塞 | discharge | 1
腋脓肿 | discharge | 1
腮腺区肿物 | discharge | 1
腰椎恶性肿瘤 | discharge | 1
腰背肌筋膜炎 | discharge | 1
腹主动脉瘤，未提及破裂 | discharge | 1
腹内淋巴结继发恶性肿瘤 | discharge | 1
腹壁开放性伤口 | discharge | 1
腹股沟斜疝 | discharge | 1
腹股沟术后 | discharge | 1
腹股沟直疝 | discharge | 1
腹股沟肿物 | admission | 1
腹腔囊肿 | discharge | 1
腹腔感染(全身炎症反应综合征) | admission | 1
腹腔积血 | discharge | 1
腹膜后腔恶性肿瘤 | discharge | 1
腹膜恶性肿瘤 | discharge | 1
腹膜肿瘤 | discharge | 1
膀胱小肠瘘 | discharge | 1
膀胱憩室 | discharge | 1
膀胱阴道瘘 | discharge | 1
膈淋巴结继发恶性肿瘤 | discharge | 1
膜性肾病 | discharge | 1
膝关节损伤 | discharge | 1
膝关节骨髓炎 | discharge | 1
臀部肿物 | discharge | 1
自体造血干细胞移植状态 | discharge | 1
自发性气胸 | discharge | 1
自发性腹膜炎 | discharge | 1
良性阵发性位置性眩晕 | discharge | 1
药物性周围神经病 | discharge | 1
药物性肝炎 | discharge | 1
药物性胃炎 | discharge | 1
药物流产术后 | discharge | 1
获得性联合免疫缺陷 | discharge | 1
获得性肾囊肿 | discharge | 1
葡萄胎术后 | admission | 1
蛛网膜下腔出血治疗后随诊检查 | discharge | 1
血小板功能不全 | discharge | 1
血性腹水 | discharge | 1
贲门溃疡 | discharge | 1
躯干肿物 | admission | 1
转移性肿瘤 | admission | 1
转移性肿瘤(乙状结肠) | admission | 1
软骨良性肿瘤 | admission | 1
轻度营养不良 | discharge | 1
输卵管绝育 | discharge | 1
输液港取出 | discharge | 1
过敏性紫癜性肾炎 | discharge | 1
造血干细胞移植状态 | discharge | 1
锁骨上淋巴结肿大 | discharge | 1
锁骨下淋巴结继发恶性肿瘤 | discharge | 1
锁骨继发恶性肿瘤 | discharge | 1
门脉高压性胃病 | discharge | 1
门静脉血栓形成 | discharge | 1
门静脉高压(TIPS术后) | admission | 1
闭合性颅脑损伤轻型 | discharge | 1
阴道前后壁脱垂 | discharge | 1
阴道溃疡 | discharge | 1
阵发性夜间血红蛋白尿［马尔基亚法瓦-米凯利］ | discharge | 1
阵发性室性心动过速 | discharge | 1
阿尔茨海默病 | discharge | 1
附件肿物 | discharge | 1
陈旧性前壁心肌梗死 | discharge | 1
陈旧性股骨骨折 | discharge | 1
陈旧性脑出血 | discharge | 1
陈旧性腰椎骨折 | discharge | 1
难治性抑郁症 | discharge | 1
霍奇金淋巴瘤 | discharge | 1
静脉曲张术后 | discharge | 1
面部软组织挫伤 | discharge | 1
顶枕叶脑出血 | discharge | 1
颈椎椎管狭窄 | discharge | 1
颈淋巴瘤(？) | admission | 1
颈淋巴结炎 | discharge | 1
颈部淋巴水肿 | discharge | 1
颌下淋巴结继发恶性肿瘤 | discharge | 1
频发性房性期前收缩 | discharge | 1
额顶叶脑出血 | admission | 1
风湿病 | discharge | 1
食管原位癌 | discharge | 1
食管息肉 | discharge | 1
食管恶性肿瘤(？) | admission | 1
食管纵隔瘘 | discharge | 1
食管继发恶性肿瘤 | discharge | 1
食管胸腔瘘 | discharge | 1
骨内高分化骨肉瘤 | admission | 1
骨和骨髓继发性恶性肿瘤 | discharge | 1
骨结核 | discharge | 1
骨质增生 | discharge | 1
骨质疏松症 | admission | 1
骨软骨瘤(术后复发) | admission | 1
骨髓抑制性贫血 | discharge | 1
骨髓炎 | discharge | 1
骨髓移植排斥 | admission | 1
骨髓纤维化伴髓样化生 | discharge | 1
骶骨恶性肿瘤 | discharge | 1
骶骨骨折 | discharge | 1
髋关节痛 | admission | 1
髋关节积液 | discharge | 1
髋部肿物 | admission | 1
髓样肉瘤 | discharge | 1
高乳酸血症 | discharge | 1
高同型半胱氨酸血症 | admission | 1
高甘油三酯血症 | discharge | 1
高磷血症 | discharge | 1
高血压脑出血 | discharge | 1
黑色素痣 | discharge | 1
鼻损伤 | discharge | 1
鼻真菌病 | admission | 1
鼻腔淋巴瘤 | discharge | 1
鼻骨骨折 | discharge | 1
