# 知识图谱疾病/病症列表 - 西医（共 1596 条）
# 格式：名称 | 来源 | 频次
结肠继发恶性肿瘤 | admission,discharge | 18
肠炎 | admission,discharge | 18
胆囊息肉 | admission,discharge | 18
膀胱继发恶性肿瘤 | admission,discharge | 18
药物性股骨头坏死 | discharge | 18
中耳炎 | admission,discharge | 17
反流性胃炎 | admission,discharge | 17
左束支传导阻滞 | admission,discharge | 17
慢性粒单核细胞性白血病 | admission,discharge | 17
支原体感染 | admission,discharge | 17
真性红细胞增多症 | admission,discharge | 17
肝硬化伴食管胃底静脉曲张 | admission,discharge | 17
肝肾功能衰竭 | admission,discharge | 17
肝肿物 | admission,discharge | 17
肿瘤化疗个人史 | admission,discharge | 17
胸椎骨折 | admission,discharge | 17
脊髓灰质炎的后遗症 | discharge | 17
脓毒血症 | discharge | 17
腹腔感染 | admission,discharge | 17
软组织恶性肿瘤 | admission,discharge | 17
Ⅰ度房室传导阻滞 | admission,discharge | 16
下肢恶性肿瘤 | admission,discharge | 16
冠状动脉性心脏病 | admission,discharge | 16
慢性前列腺炎 | discharge | 16
纵隔肿瘤 | admission,discharge | 16
肌肉继发恶性肿瘤 | admission,discharge | 16
肾损伤 | admission,discharge | 16
胰腺继发恶性肿瘤 | admission,discharge | 16
衣原体感染 | admission,discharge | 16
高尿酸血症 | admission,discharge | 16
高血压1级 | discharge | 16
高血压病2级(极高危) | admission,discharge | 16
鼻咽原位癌 | admission,discharge | 16
T淋巴母细胞白血病/淋巴瘤 | admission,discharge | 15
不完全性肠梗阻 | admission,discharge | 15
休克 | admission,discharge | 15
口腔恶性肿瘤 | admission,discharge | 15
口腔感染 | admission,discharge | 15
子宫腺肌病 | admission,discharge | 15
心功能Ⅱ级 | admission,discharge | 15
慢性阻塞性肺疾病III级 | discharge | 15
放射性肠炎 | admission,discharge | 15
肝性脑病 | admission,discharge | 15
胰管扩张 | admission,discharge | 15
胸椎继发恶性肿瘤 | admission,discharge | 15
胸腺恶性肿瘤 | admission,discharge | 15
血小板减少性紫癜 | admission,discharge | 15
血小板增多 | admission,discharge | 15
鼻出血 | admission,discharge | 15
T-细胞淋巴瘤 | admission,discharge | 14
乙肝后肝硬化 | admission,discharge | 14
咯血 | discharge | 14
急性单核细胞白血病 | admission,discharge | 14
慢性粒细胞性白血病，急淋变 | admission,discharge | 14
慢性胆囊炎 | admission,discharge | 14
放射性食管炎 | discharge | 14
烟雾病 | admission,discharge | 14
眼恶性肿瘤 | admission,discharge | 14
系统性红斑狼疮 | admission,discharge | 14
继发性骨髓纤维化 | admission,discharge | 14
肋骨继发恶性肿瘤 | admission,discharge | 14
肝内胆管癌 | admission,discharge | 14
肠道恶性肿瘤 | admission,discharge | 14
肾积水伴肾结石 | admission,discharge | 14
脂肪瘤 | admission,discharge | 14
腹膜后淋巴结继发恶性肿瘤 | admission,discharge | 14
锁骨骨折 | admission,discharge | 14
阴囊继发恶性肿瘤 | admission,discharge | 14
EB病毒感染 | admission,discharge | 13
下肢血栓性静脉炎 | admission,discharge | 13
下颌恶性肿瘤 | admission,discharge | 13
低氯血症 | admission,discharge | 13
免疫球蛋白缺乏 | admission,discharge | 13
