standard_name	frequency	icd10_code	icd10_name	match_method	match_score
食管裂孔疝	10	Q40.101	先天性食管裂孔疝	子串匹配	62.5
盆腔淋巴结继发恶性肿瘤	9	C77.901	淋巴结继发恶性肿瘤	子串匹配	81.8
髋关节置换术后状态	9	Z96.601	髋关节置换术	子串匹配	66.7
鼻咽恶性肿瘤个人史	9	C11.901	鼻咽恶性肿瘤	子串匹配	66.7
大细胞髓母细胞瘤	8	M94700/3	髓母细胞瘤	子串匹配	62.5
更年期综合征	8	N50.818	男性更年期综合征	子串匹配	75.0
枕骨恶性肿瘤	8	C41.901	骨恶性肿瘤	子串匹配	83.3
白细胞增多	8	D72.801	白细胞增多症	子串匹配	83.3
粒细胞缺乏	8	D70  02	急性粒细胞缺乏症	子串匹配	62.5
肾衰竭	8	I50.912	心肾衰竭	子串匹配	75.0
重型地中海贫血	8	D56.901	地中海贫血	子串匹配	71.4
颈部恶性肿瘤	8	M80000/3	恶性肿瘤	子串匹配	66.7
I型呼吸衰竭	7	J96.901	呼吸衰竭	子串匹配	66.7
慢性病毒性肝炎	7	B19.902	病毒性肝炎	子串匹配	71.4
盆腔炎	7	K65.011	男性盆腔炎	子串匹配	60.0
腹股沟淋巴结肿大	7	R59.901	淋巴结肿大	子串匹配	62.5
重型β地中海贫血	7	D56.901	地中海贫血	子串匹配	62.5
非小细胞癌	7	M80410/3	小细胞癌	子串匹配	80.0
食管胃底静脉曲张	7	I86.401	胃底静脉曲张	子串匹配	75.0
高胆红素血症	7	E80.602	肝炎后高胆红素血症	子串匹配	66.7
咽喉恶性肿瘤	6	C32.901	喉恶性肿瘤	子串匹配	83.3
急性化脓性扁桃体炎	6	J03.909	化脓性扁桃体炎	子串匹配	77.8
神经节神经母细胞瘤	6	M95000/3	神经母细胞瘤	子串匹配	66.7
神经麻痹	6	G51.002	面神经麻痹	子串匹配	80.0
红细胞增多	6	C94.003	红细胞增多症	子串匹配	83.3
细支气管扩张	6	J47  01	支气管扩张	子串匹配	83.3
结肠恶性肿瘤个人史	6	C18.902	结肠恶性肿瘤	子串匹配	66.7
假性动脉瘤	5	I72.808	椎假性动脉瘤	子串匹配	83.3
带状疱疹后神经痛	5	B02.206+ G53.004*	疱疹后神经痛	子串匹配	75.0
慢性嗜酸性粒细胞白血病	5	M98800/3	嗜酸性粒细胞白血病	子串匹配	81.8
腰椎压缩性骨折	5	T94.102	陈旧性腰椎压缩性骨折	子串匹配	70.0
腰部恶性肿瘤	5	M80000/3	恶性肿瘤	子串匹配	66.7
前列腺钙化灶	4	N42.803	前列腺钙化	子串匹配	83.3
多部位淋巴结继发恶性肿瘤	4	C77.901	淋巴结继发恶性肿瘤	子串匹配	75.0
子宫输卵管恶性肿瘤	4	C57.001	输卵管恶性肿瘤	子串匹配	77.8
桥本甲状腺炎	4	E06.901	甲状腺炎	子串匹配	66.7
男性乳腺增生	4	N62  03	乳腺增生	子串匹配	66.7
短暂性脑缺血发作	4	G45.901	短暂性脑缺血	子串匹配	75.0
继发恶性肿瘤	4	C78.001	肺继发恶性肿瘤	子串匹配	85.7
肝恶性肿瘤个人史	4	C22.901	肝恶性肿瘤	子串匹配	62.5
胃吻合口炎	4	K28.701	慢性胃吻合口炎	子串匹配	71.4
胸部食管恶性肿瘤	4	C15.901	食管恶性肿瘤	子串匹配	75.0
颈内静脉血栓形成	4	I82.902	静脉血栓形成	子串匹配	75.0
骨髓移植术后状态	4	Z94.801	骨髓移植术后	子串匹配	75.0
Ⅱ型呼吸衰竭	3	J96.901	呼吸衰竭	子串匹配	66.7
低血糖	3	E16.201	低血糖症	子串匹配	75.0
慢性粒细胞性白血病伴缓解	3	C92.101	慢性粒细胞性白血病	子串匹配	75.0
房间隔缺损	3	Q21.102	先天性房间隔缺损	子串匹配	62.5
