standard_name	frequency	icd10_code	icd10_name	match_method	match_score
支气管哮喘	14	J45.903	支气管哮喘	精确匹配	100.0
眩晕	14	R42  01	眩晕	精确匹配	100.0
眼恶性肿瘤	14	C69.901	眼恶性肿瘤	精确匹配	100.0
系统性红斑狼疮	14	M32.901	系统性红斑狼疮	精确匹配	100.0
脂肪瘤	14	D17.302	脂肪瘤	精确匹配	100.0
锁骨骨折	14	S42.001	锁骨骨折	精确匹配	100.0
低氯血症	13	E87.801	低氯血症	精确匹配	100.0
免疫球蛋白缺乏	13	D80.901	免疫球蛋白缺乏	精确匹配	100.0
十二指肠溃疡	13	K26.901	十二指肠溃疡	精确匹配	100.0
慢性结肠炎	13	K52.913	慢性结肠炎	精确匹配	100.0
截瘫	13	G82.205	截瘫	精确匹配	100.0
症状性癫痫	13	G40.804	症状性癫痫	精确匹配	100.0
肺脓肿	13	J85.201	肺脓肿	精确匹配	100.0
血栓性静脉炎	13	I80.902	血栓性静脉炎	精确匹配	100.0
阴道继发恶性肿瘤	13	C79.827	阴道继发恶性肿瘤	精确匹配	100.0
下腔静脉血栓形成	12	I82.203	下腔静脉血栓形成	精确匹配	100.0
下颌骨恶性肿瘤	12	C41.101	下颌骨恶性肿瘤	精确匹配	100.0
乳头炎	12	N61  04	乳头炎	精确匹配	100.0
多囊肾	12	Q61.301	多囊肾	精确匹配	100.0
牙龈恶性肿瘤	12	C03.902	牙龈恶性肿瘤	精确匹配	100.0
病毒性肺炎	12	J12.901	病毒性肺炎	精确匹配	100.0
白细胞增多症	12	D72.801	白细胞增多症	精确匹配	100.0
纵隔淋巴结继发恶性肿瘤	12	C77.103	纵隔淋巴结继发恶性肿瘤	精确匹配	100.0
胆石症	12	K80.205	胆石症	精确匹配	100.0
输尿管继发恶性肿瘤	12	C79.104	输尿管继发恶性肿瘤	精确匹配	100.0
颊部恶性肿瘤	12	C76.004	颊部恶性肿瘤	精确匹配	100.0
风湿性关节炎	12	I00  03	风湿性关节炎	精确匹配	100.0
前庭大腺囊肿	11	N75.001	前庭大腺囊肿	精确匹配	100.0
小肠恶性肿瘤	11	C17.901	小肠恶性肿瘤	精确匹配	100.0
急性胰腺炎	11	K85  07	急性胰腺炎	精确匹配	100.0
结缔组织病	11	M35.901	结缔组织病	精确匹配	100.0
腮腺肿瘤	11	C07  03	腮腺肿瘤	精确匹配	100.0
腹泻	11	K52.904	腹泻	精确匹配	100.0
腹膜后恶性肿瘤	11	C48.001	腹膜后恶性肿瘤	精确匹配	100.0
营养不良	11	E46  03	营养不良	精确匹配	100.0
卵巢肿瘤	10	C56  10	卵巢肿瘤	精确匹配	100.0
子宫内膜样腺癌	10	M83800/3	子宫内膜样腺癌	精确匹配	100.0
支气管肺炎	10	J18.008	支气管肺炎	精确匹配	100.0
盆腔恶性肿瘤	10	C76.304	盆腔恶性肿瘤	精确匹配	100.0
股骨颈骨折	10	S72.002	股骨颈骨折	精确匹配	100.0
胃下垂	10	K31.821	胃下垂	精确匹配	100.0
输尿管扩张	10	N28.808	输尿管扩张	精确匹配	100.0
阴茎恶性肿瘤	10	C60.901	阴茎恶性肿瘤	精确匹配	100.0
小脑萎缩	9	G31.910	小脑萎缩	精确匹配	100.0
平滑肌肉瘤	9	M88900/3	平滑肌肉瘤	精确匹配	100.0
昏迷	9	R40.201	昏迷	精确匹配	100.0
束支传导阻滞	9	I45.402	束支传导阻滞	精确匹配	100.0
股骨头缺血性坏死	9	M87.951	股骨头缺血性坏死	精确匹配	100.0
股骨骨折	9	S72.901	股骨骨折	精确匹配	100.0
腮腺恶性肿瘤	9	C07  01	腮腺恶性肿瘤	精确匹配	100.0
荨麻疹	9	L50.901	荨麻疹	精确匹配	100.0
软组织感染	9	L08.920	软组织感染	精确匹配	100.0
上颌骨恶性肿瘤	8	C41.003	上颌骨恶性肿瘤	精确匹配	100.0
十二指肠球炎	8	K29.801	十二指肠球炎	精确匹配	100.0
头痛	8	R51  01	头痛	精确匹配	100.0
急性胃肠炎	8	K52.908	急性胃肠炎	精确匹配	100.0
液气胸	8	J94.809	液气胸	精确匹配	100.0
直肠炎	8	K62.815	直肠炎	精确匹配	100.0
直肠继发恶性肿瘤	8	C78.505	直肠继发恶性肿瘤	精确匹配	100.0
肝门淋巴结继发恶性肿瘤	8	C77.205	肝门淋巴结继发恶性肿瘤	精确匹配	100.0
肠系膜继发恶性肿瘤	8	C78.601	肠系膜继发恶性肿瘤	精确匹配	100.0
肾静脉栓塞	8	I82.301	肾静脉栓塞	精确匹配	100.0
脑血管病	8	I67.903	脑血管病	精确匹配	100.0
腹膜后淋巴结肿大	8	R59.005	腹膜后淋巴结肿大	精确匹配	100.0
萎缩性胃炎	8	K29.402	萎缩性胃炎	精确匹配	100.0
颅内恶性肿瘤	8	C71.902	颅内恶性肿瘤	精确匹配	100.0
喉原位癌	7	D02.001	喉原位癌	精确匹配	100.0
地中海贫血	7	D56.901	地中海贫血	精确匹配	100.0
循环衰竭	7	I50.913	循环衰竭	精确匹配	100.0
感染性休克	7	R57.801	感染性休克	精确匹配	100.0
甲周炎	7	L03.003	甲周炎	精确匹配	100.0
直肠息肉	7	K62.101	直肠息肉	精确匹配	100.0
肛周脓肿	7	K61.002	肛周脓肿	精确匹配	100.0
肛瘘	7	K60.301	肛瘘	精确匹配	100.0
肝大	7	R16.001	肝大	精确匹配	100.0
肝细胞性黄疸	7	K76.812	肝细胞性黄疸	精确匹配	100.0
肝脓肿	7	K75.001	肝脓肿	精确匹配	100.0
肺动脉高压	7	I27.001	肺动脉高压	精确匹配	100.0
肺栓塞	7	I26.901	肺栓塞	精确匹配	100.0
肺门淋巴结继发恶性肿瘤	7	C77.101	肺门淋巴结继发恶性肿瘤	精确匹配	100.0
胆囊继发恶性肿瘤	7	C78.802	胆囊继发恶性肿瘤	精确匹配	100.0
自身免疫性肝炎	7	K75.809	自身免疫性肝炎	精确匹配	100.0
锁骨下静脉血栓形成	7	I82.808	锁骨下静脉血栓形成	精确匹配	100.0
阑尾恶性肿瘤	7	C18.101	阑尾恶性肿瘤	精确匹配	100.0
阵发性心房纤颤	7	I48  06	阵发性心房纤颤	精确匹配	100.0
骨质疏松	7	M81.991	骨质疏松	精确匹配	100.0
骨髓继发恶性肿瘤	7	C79.502	骨髓继发恶性肿瘤	精确匹配	100.0
下肢深静脉血栓形成	6	I80.205	下肢深静脉血栓形成	精确匹配	100.0
主动脉钙化	6	I70.002	主动脉钙化	精确匹配	100.0
传染性单核细胞增多症	6	B27.901	传染性单核细胞增多症	精确匹配	100.0
冠状动脉供血不足	6	I24.801	冠状动脉供血不足	精确匹配	100.0
副脾	6	Q89.002	副脾	精确匹配	100.0
套细胞淋巴瘤	6	C83.203	套细胞淋巴瘤	精确匹配	100.0
子宫平滑肌瘤	6	D25.902	子宫平滑肌瘤	精确匹配	100.0
心肌病	6	I42.905	心肌病	精确匹配	100.0
消化道穿孔	6	K27.503	消化道穿孔	精确匹配	100.0
淋巴结炎	6	I88.906	淋巴结炎	精确匹配	100.0
结节病	6	D86.901	结节病	精确匹配	100.0
肱骨骨折	6	S42.302	肱骨骨折	精确匹配	100.0
肾积水	6	N04.904	肾积水	精确匹配	100.0
胃窦恶性肿瘤	6	C16.301	胃窦恶性肿瘤	精确匹配	100.0
脑膜瘤	6	D32.902	脑膜瘤	精确匹配	100.0
脱髓鞘性脑病	6	G37.802	脱髓鞘性脑病	精确匹配	100.0
舌囊肿	6	K14.807	舌囊肿	精确匹配	100.0
蛛网膜囊肿	6	G93.001	蛛网膜囊肿	精确匹配	100.0
血尿	6	R31  01	血尿	精确匹配	100.0
血栓性微血管病	6	M31.102	血栓性微血管病	精确匹配	100.0
输卵管恶性肿瘤	6	C57.001	输卵管恶性肿瘤	精确匹配	100.0
过敏性皮炎	6	L23.901	过敏性皮炎	精确匹配	100.0
过敏性皮疹	6	R21  01	过敏性皮疹	精确匹配	100.0
阵发性房性心动过速	6	I47.111	阵发性房性心动过速	精确匹配	100.0
额窦炎	6	J32.101	额窦炎	精确匹配	100.0
下消化道出血	5	K92.207	下消化道出血	精确匹配	100.0
前列腺原位癌	5	D07.501	前列腺原位癌	精确匹配	100.0
口咽恶性肿瘤	5	C10.901	口咽恶性肿瘤	精确匹配	100.0
呼吸道感染	5	J98.802	呼吸道感染	精确匹配	100.0
咽炎	5	J02.909	咽炎	精确匹配	100.0
天疱疮	5	L10.901	天疱疮	精确匹配	100.0
应激性胃炎	5	K29.705	应激性胃炎	精确匹配	100.0
强直性脊柱炎	5	M45.991	强直性脊柱炎	精确匹配	100.0
急性牙周炎	5	K05.205	急性牙周炎	精确匹配	100.0
慢性肾功能不全	5	N18.905	慢性肾功能不全	精确匹配	100.0
梭形细胞癌	5	M80320/3	梭形细胞癌	精确匹配	100.0
槭糖尿病	5	E71.001	槭糖尿病	精确匹配	100.0
横纹肌肉瘤	5	M89000/3	横纹肌肉瘤	精确匹配	100.0
残胃恶性肿瘤	5	C16.901	残胃恶性肿瘤	精确匹配	100.0
气胸	5	J93.901	气胸	精确匹配	100.0
肠粘连	5	K66.002	肠粘连	精确匹配	100.0
胆囊腺肌症	5	K82.818	胆囊腺肌症	精确匹配	100.0
胸膜炎	5	R09.103	胸膜炎	精确匹配	100.0
脊髓继发恶性肿瘤	5	C79.301	脊髓继发恶性肿瘤	精确匹配	100.0
腰肌劳损	5	M54.561	腰肌劳损	精确匹配	100.0
药物性骨髓抑制	5	D75.808	药物性骨髓抑制	精确匹配	100.0
蝶窦囊肿	5	J34.104	蝶窦囊肿	精确匹配	100.0
阴道出血	5	N93.901	阴道出血	精确匹配	100.0
青光眼	5	H40.901	青光眼	精确匹配	100.0
食管憩室	5	K22.502	食管憩室	精确匹配	100.0
骨盆骨折	5	S32.801	骨盆骨折	精确匹配	100.0
上肢静脉血栓形成	4	I82.806	上肢静脉血栓形成	精确匹配	100.0
会厌恶性肿瘤	4	C32.101	会厌恶性肿瘤	精确匹配	100.0
会阴部恶性肿瘤	4	C49.503	会阴部恶性肿瘤	精确匹配	100.0
关节积液	4	M25.491	关节积液	精确匹配	100.0
卵巢继发恶性肿瘤	4	C79.602	卵巢继发恶性肿瘤	精确匹配	100.0
周围神经病	4	G62.904	周围神经病	精确匹配	100.0
外痔	4	I84.501	外痔	精确匹配	100.0
失眠	4	G47.001	失眠	精确匹配	100.0
室性自搏	4	I49.303	室性自搏	精确匹配	100.0
椎体继发恶性肿瘤	4	C79.508	椎体继发恶性肿瘤	精确匹配	100.0
椎管狭窄	4	M48.091	椎管狭窄	精确匹配	100.0
淋巴管炎	4	I89.101	淋巴管炎	精确匹配	100.0
瘫痪	4	G83.902	瘫痪	精确匹配	100.0
皮疹	4	R21  02	皮疹	精确匹配	100.0
皮肌炎	4	M33.101	皮肌炎	精确匹配	100.0
结核性胸膜炎	4	A16.504	结核性胸膜炎	精确匹配	100.0
结核性腹膜炎	4	A18.307+ K67.301*	结核性腹膜炎	精确匹配	100.0
维生素B12缺乏	4	E53.801	维生素B12缺乏	精确匹配	100.0
肝母细胞瘤	4	C22.201	肝母细胞瘤	精确匹配	100.0
肺空洞	4	J98.405	肺空洞	精确匹配	100.0
肾病综合征	4	N04.903	肾病综合征	精确匹配	100.0
肾静脉血栓形成	4	I82.302	肾静脉血栓形成	精确匹配	100.0
胆囊结石伴胆囊炎	4	K80.101	胆囊结石伴胆囊炎	精确匹配	100.0
胰头恶性肿瘤	4	C25.001	胰头恶性肿瘤	精确匹配	100.0
脾恶性肿瘤	4	C26.101	脾恶性肿瘤	精确匹配	100.0
腹膜炎	4	K65.902	腹膜炎	精确匹配	100.0
膀胱结石	4	N21.001	膀胱结石	精确匹配	100.0
膝关节痛	4	M25.561	膝关节痛	精确匹配	100.0
臀部恶性肿瘤	4	C76.306	臀部恶性肿瘤	精确匹配	100.0
艾滋病	4	B24  01	艾滋病	精确匹配	100.0
门静脉血栓形成	4	I81  02	门静脉血栓形成	精确匹配	100.0
阴道恶性肿瘤	4	C52  01	阴道恶性肿瘤	精确匹配	100.0
阴道瘘	4	N82.901	阴道瘘	精确匹配	100.0
鞘膜积液	4	N43.301	鞘膜积液	精确匹配	100.0
颈静脉血栓形成	4	I82.801	颈静脉血栓形成	精确匹配	100.0
高泌乳素血症	4	E22.101	高泌乳素血症	精确匹配	100.0
高钠血症	4	E87.001	高钠血症	精确匹配	100.0
下肢水肿	3	R60.002	下肢水肿	精确匹配	100.0
外阴恶性肿瘤	3	C51.901	外阴恶性肿瘤	精确匹配	100.0
室性心律失常	3	I49.903	室性心律失常	精确匹配	100.0
尿潴留	3	R33  01	尿潴留	精确匹配	100.0
心肌酶谱异常	3	R74.802	心肌酶谱异常	精确匹配	100.0
心脏瓣膜病	3	I38  01	心脏瓣膜病	精确匹配	100.0
急性肾功能不全	3	N17.903	急性肾功能不全	精确匹配	100.0
急性胃炎	3	K29.101	急性胃炎	精确匹配	100.0
感染	3	B99  01	感染	精确匹配	100.0
慢性肠炎	3	K52.911	慢性肠炎	精确匹配	100.0
慢性萎缩性胃炎	3	K29.401	慢性萎缩性胃炎	精确匹配	100.0
慢性阑尾炎	3	K36  02	慢性阑尾炎	精确匹配	100.0
支气管恶性肿瘤	3	C34.905	支气管恶性肿瘤	精确匹配	100.0
梅毒	3	A53.901	梅毒	精确匹配	100.0
混合性酸碱平衡失调	3	E87.401	混合性酸碱平衡失调	精确匹配	100.0
混合痔	3	I84.102	混合痔	精确匹配	100.0
滑膜肉瘤	3	M90400/3	滑膜肉瘤	精确匹配	100.0
特发性门脉高压	3	K76.603	特发性门脉高压	精确匹配	100.0
癔症	3	F44.902	癔症	精确匹配	100.0
睡眠障碍	3	G47.901	睡眠障碍	精确匹配	100.0
窦性停搏	3	I45.503	窦性停搏	精确匹配	100.0
糖尿病性周围神经病	3	E14.408+ G59.004*	糖尿病性周围神经病	精确匹配	100.0
糖尿病性肾病	3	E14.203+ N08.303*	糖尿病性肾病	精确匹配	100.0
继发性糖尿病	3	E13.902	继发性糖尿病	精确匹配	100.0
耻骨骨折	3	S32.501	耻骨骨折	精确匹配	100.0
肋间神经痛	3	G58.001	肋间神经痛	精确匹配	100.0
肩关节痛	3	M25.511	肩关节痛	精确匹配	100.0
肺部感染	3	J98.402	肺部感染	精确匹配	100.0
肾盂扩张	3	N28.820	肾盂扩张	精确匹配	100.0
胆管囊肿	3	K83.501	胆管囊肿	精确匹配	100.0
胆管结石	3	K80.502	胆管结石	精确匹配	100.0
胆道感染	3	K83.002	胆道感染	精确匹配	100.0
胫骨骨折	3	S82.203	胫骨骨折	精确匹配	100.0
脑疝	3	G93.505	脑疝	精确匹配	100.0
脑白质病	3	G93.406	脑白质病	精确匹配	100.0
腋下淋巴结肿大	3	R59.006	腋下淋巴结肿大	精确匹配	100.0
腹股沟斜疝	3	K40.903	腹股沟斜疝	精确匹配	100.0
膀胱炎	3	N30.901	膀胱炎	精确匹配	100.0
输尿管结石	3	N20.101	输尿管结石	精确匹配	100.0
重症肺炎	3	J18.904	重症肺炎	精确匹配	100.0
颈部继发性恶性肿瘤	3	C79.810	颈部继发性恶性肿瘤	精确匹配	100.0
骨软骨瘤病	3	D48.004	骨软骨瘤病	精确匹配	100.0
鼻息肉	3	J33.001	鼻息肉	精确匹配	100.0
上颌窦恶性肿瘤	2	C31.001	上颌窦恶性肿瘤	精确匹配	100.0
低血容量	2	E86  01	低血容量	精确匹配	100.0
低血糖性昏迷	2	E15  01	低血糖性昏迷	精确匹配	100.0
全身性疼痛	2	R52.901	全身性疼痛	精确匹配	100.0
全身炎症反应综合征	2	R65.901	全身炎症反应综合征	精确匹配	100.0
冠状动脉缺血	2	I25.901	冠状动脉缺血	精确匹配	100.0
十二指肠炎	2	K29.802	十二指肠炎	精确匹配	100.0
十二指肠继发恶性肿瘤	2	C78.401	十二指肠继发恶性肿瘤	精确匹配	100.0
卵巢冠恶性肿瘤	2	C57.101	卵巢冠恶性肿瘤	精确匹配	100.0
口底恶性肿瘤	2	C04.901	口底恶性肿瘤	精确匹配	100.0
呕血	2	K92.001	呕血	精确匹配	100.0
呼吸心跳骤停	2	I46.902	呼吸心跳骤停	精确匹配	100.0
嗅神经恶性肿瘤	2	C72.201	嗅神经恶性肿瘤	精确匹配	100.0
嗜酸性粒细胞白血病	2	M98800/3	嗜酸性粒细胞白血病	精确匹配	100.0
囊腺瘤	2	M84400/0	囊腺瘤	精确匹配	100.0
坠积性肺炎	2	J18.201	坠积性肺炎	精确匹配	100.0
声带麻痹	2	J38.004	声带麻痹	精确匹配	100.0
子宫息肉	2	N84.002	子宫息肉	精确匹配	100.0
室上性心动过速	2	I47.109	室上性心动过速	精确匹配	100.0
尖锐湿疣	2	A63.001	尖锐湿疣	精确匹配	100.0
幽门梗阻	2	K31.102	幽门梗阻	精确匹配	100.0
急性化脓性胆囊炎	2	K81.005	急性化脓性胆囊炎	精确匹配	100.0
急性咽喉炎	2	J06.001	急性咽喉炎	精确匹配	100.0
急性心肌梗死	2	I21.304	急性心肌梗死	精确匹配	100.0
急性肠炎	2	K52.905	急性肠炎	精确匹配	100.0
急性脊髓灰质炎	2	A80.901	急性脊髓灰质炎	精确匹配	100.0
急性脑血管病	2	I67.801	急性脑血管病	精确匹配	100.0
恶性贫血	2	D51.001	恶性贫血	精确匹配	100.0
感染性腹泻	2	A04.903	感染性腹泻	精确匹配	100.0
慢性咽炎	2	J31.203	慢性咽炎	精确匹配	100.0
慢性硬膜下血肿	2	I62.002	慢性硬膜下血肿	精确匹配	100.0
慢性肝炎	2	K73.901	慢性肝炎	精确匹配	100.0
慢性胆囊炎急性发作	2	K81.007	慢性胆囊炎急性发作	精确匹配	100.0
慢性胰腺炎	2	K86.102	慢性胰腺炎	精确匹配	100.0
慢性鼻炎	2	J31.004	慢性鼻炎	精确匹配	100.0
慢性鼻窦炎	2	J32.902	慢性鼻窦炎	精确匹配	100.0
抽搐	2	F95.901	抽搐	精确匹配	100.0
支气管瘘	2	J86.008	支气管瘘	精确匹配	100.0
支气管继发恶性肿瘤	2	C78.002	支气管继发恶性肿瘤	精确匹配	100.0
放射性直肠炎	2	K62.701	放射性直肠炎	精确匹配	100.0
月经过多	2	N92.001	月经过多	精确匹配	100.0
桡骨远端骨折	2	S52.503	桡骨远端骨折	精确匹配	100.0
残胃炎	2	K91.802	残胃炎	精确匹配	100.0
浆细胞性乳腺炎	2	N61  02	浆细胞性乳腺炎	精确匹配	100.0
消瘦	2	E41  01	消瘦	精确匹配	100.0
湿疹	2	L30.902	湿疹	精确匹配	100.0
溃疡性结肠炎	2	K51.902	溃疡性结肠炎	精确匹配	100.0
牙龈瘤	2	K06.804	牙龈瘤	精确匹配	100.0
牙龈脓肿	2	K05.203	牙龈脓肿	精确匹配	100.0
甲状腺囊肿	2	E04.101	甲状腺囊肿	精确匹配	100.0
白癜风	2	L80  01	白癜风	精确匹配	100.0
皮肤继发恶性肿瘤	2	C79.203	皮肤继发恶性肿瘤	精确匹配	100.0
直肠乙状结肠连接处恶性肿瘤	2	C19  01	直肠乙状结肠连接处恶性肿瘤	精确匹配	100.0
直肠肿物	2	K62.902	直肠肿物	精确匹配	100.0
直肠阴道瘘	2	N82.302	直肠阴道瘘	精确匹配	100.0
眼底出血	2	H35.603	眼底出血	精确匹配	100.0
神经纤维瘤	2	M95400/0	神经纤维瘤	精确匹配	100.0
管状腺瘤	2	M82110/0	管状腺瘤	精确匹配	100.0
精神障碍	2	F99  01	精神障碍	精确匹配	100.0
结肠黑变病	2	K63.806	结肠黑变病	精确匹配	100.0
结膜出血	2	H11.301	结膜出血	精确匹配	100.0
继发性高血压	2	I15.901	继发性高血压	精确匹配	100.0
肝功能异常	2	R94.501	肝功能异常	精确匹配	100.0
肝肾综合征	2	K76.702	肝肾综合征	精确匹配	100.0
肝脾大	2	R16.201	肝脾大	精确匹配	100.0
肠道菌群失调	2	K59.801	肠道菌群失调	精确匹配	100.0
股骨头骨折	2	S72.001	股骨头骨折	精确匹配	100.0
股骨干骨折	2	S72.301	股骨干骨折	精确匹配	100.0
肱骨干骨折	2	S42.301	肱骨干骨折	精确匹配	100.0
肺动脉栓塞	2	I26.903	肺动脉栓塞	精确匹配	100.0
肾上腺增生	2	E27.805	肾上腺增生	精确匹配	100.0
肾上腺皮质腺瘤	2	D35.002	肾上腺皮质腺瘤	精确匹配	100.0
胃潴留	2	K31.826	胃潴留	精确匹配	100.0
胆总管恶性肿瘤	2	C24.004	胆总管恶性肿瘤	精确匹配	100.0
胆总管结石	2	K80.506	胆总管结石	精确匹配	100.0
胆汁反流	2	K83.809	胆汁反流	精确匹配	100.0
胆管出血	2	K83.803	胆管出血	精确匹配	100.0
胰尾恶性肿瘤	2	C25.201	胰尾恶性肿瘤	精确匹配	100.0
胰腺囊肿	2	K86.201	胰腺囊肿	精确匹配	100.0
胸腔占位性病变	2	J98.901	胸腔占位性病变	精确匹配	100.0
脉络丛恶性肿瘤	2	C71.502	脉络丛恶性肿瘤	精确匹配	100.0
脊髓受压	2	G95.201	脊髓受压	精确匹配	100.0
脊髓损伤	2	T09.302	脊髓损伤	精确匹配	100.0
腋窝恶性肿瘤	2	C76.104	腋窝恶性肿瘤	精确匹配	100.0
腹股沟恶性肿瘤	2	C76.305	腹股沟恶性肿瘤	精确匹配	100.0
腹股沟淋巴结继发恶性肿瘤	2	C77.401	腹股沟淋巴结继发恶性肿瘤	精确匹配	100.0
膈膨升	2	J98.601	膈膨升	精确匹配	100.0
自身免疫性溶血性贫血	2	D59.102	自身免疫性溶血性贫血	精确匹配	100.0
菌血症	2	A49.901	菌血症	精确匹配	100.0
营养性贫血	2	D53.901	营养性贫血	精确匹配	100.0
贲门梗阻	2	K22.201	贲门梗阻	精确匹配	100.0
转移性肿瘤	2	M80000/6	转移性肿瘤	精确匹配	100.0
输尿管狭窄	2	N13.503	输尿管狭窄	精确匹配	100.0
运动障碍	2	G24.902	运动障碍	精确匹配	100.0
酒精性肝硬化	2	K70.301	酒精性肝硬化	精确匹配	100.0
阴茎原位癌	2	D07.401	阴茎原位癌	精确匹配	100.0
阴茎肿物	2	N48.902	阴茎肿物	精确匹配	100.0
阴道炎	2	N76.001	阴道炎	精确匹配	100.0
静脉曲张	2	I83.903	静脉曲张	精确匹配	100.0
颅咽管瘤	2	D44.402	颅咽管瘤	精确匹配	100.0
颌下腺恶性肿瘤	2	C08.001	颌下腺恶性肿瘤	精确匹配	100.0
食管梗阻	2	K22.204	食管梗阻	精确匹配	100.0
食管狭窄	2	K22.206	食管狭窄	精确匹配	100.0
食管瘘	2	K22.806	食管瘘	精确匹配	100.0
骨髓坏死	2	D75.801	骨髓坏死	精确匹配	100.0
高胆固醇血症	2	E78.001	高胆固醇血症	精确匹配	100.0
三叉神经炎	1	G50.802	三叉神经炎	精确匹配	100.0
三叉神经痛	1	G50.002	三叉神经痛	精确匹配	100.0
上肢恶性肿瘤	1	C76.401	上肢恶性肿瘤	精确匹配	100.0
下肢动脉血栓形成	1	I74.306	下肢动脉血栓形成	精确匹配	100.0
乳腺炎	1	N61  07	乳腺炎	精确匹配	100.0
先天性多发性骨软骨瘤	1	Q78.402	先天性多发性骨软骨瘤	精确匹配	100.0
先天性子宫缺失	1	Q51.001	先天性子宫缺失	精确匹配	100.0
创伤性失明	1	S05.901	创伤性失明	精确匹配	100.0
副乳腺腺病	1	Q83.102	副乳腺腺病	精确匹配	100.0
功能性腹泻	1	K59.101	功能性腹泻	精确匹配	100.0
动脉瘤	1	I72.901	动脉瘤	精确匹配	100.0
卵巢脓肿	1	N70.901	卵巢脓肿	精确匹配	100.0
卵巢黄体破裂	1	N83.102	卵巢黄体破裂	精确匹配	100.0
坐骨骨折	1	S32.802	坐骨骨折	精确匹配	100.0
头部痈	1	L02.804	头部痈	精确匹配	100.0
妊娠合并高血压	1	O10.901	妊娠合并高血压	精确匹配	100.0
子宫内膜原位癌	1	D07.001	子宫内膜原位癌	精确匹配	100.0
子宫内膜息肉	1	N84.001	子宫内膜息肉	精确匹配	100.0
子宫内膜样腺瘤	1	D27  08	子宫内膜样腺瘤	精确匹配	100.0
小细胞癌	1	M80410/3	小细胞癌	精确匹配	100.0
少尿	1	R34  02	少尿	精确匹配	100.0
应激性溃疡	1	K27.905	应激性溃疡	精确匹配	100.0
应激性溃疡伴出血	1	K27.403	应激性溃疡伴出血	精确匹配	100.0
心源性休克	1	R57.001	心源性休克	精确匹配	100.0
心脏术后	1	I97.912	心脏术后	精确匹配	100.0
心脏继发恶性肿瘤	1	C79.822	心脏继发恶性肿瘤	精确匹配	100.0
急性前列腺炎	1	N41.001	急性前列腺炎	精确匹配	100.0
急性化脓性中耳炎	1	H66.001	急性化脓性中耳炎	精确匹配	100.0
急性化脓性阑尾炎	1	K35.101	急性化脓性阑尾炎	精确匹配	100.0
急性支气管炎	1	J20.904	急性支气管炎	精确匹配	100.0
急性淋巴结炎	1	L04.904	急性淋巴结炎	精确匹配	100.0
急性糜烂性胃炎	1	K25.902	急性糜烂性胃炎	精确匹配	100.0
慢性中耳炎	1	H66.903	慢性中耳炎	精确匹配	100.0
慢性再生障碍性贫血	1	D61.903	慢性再生障碍性贫血	精确匹配	100.0
慢性失血性贫血	1	D50.001	慢性失血性贫血	精确匹配	100.0
慢性牙周炎	1	K05.302	慢性牙周炎	精确匹配	100.0
慢性肾炎	1	N03.903	慢性肾炎	精确匹配	100.0
扁桃体恶性肿瘤	1	C09.901	扁桃体恶性肿瘤	精确匹配	100.0
新生儿幽门痉挛	1	Q40.002	新生儿幽门痉挛	精确匹配	100.0
椎管内占位性病变	1	G95.903	椎管内占位性病变	精确匹配	100.0
残胃出血	1	K92.202	残胃出血	精确匹配	100.0
毛囊炎	1	L73.901	毛囊炎	精确匹配	100.0
气管狭窄	1	J39.810	气管狭窄	精确匹配	100.0
气管继发恶性肿瘤	1	C78.302	气管继发恶性肿瘤	精确匹配	100.0
流行性感冒	1	J11.101	流行性感冒	精确匹配	100.0
浸润型肺结核	1	A16.208	浸润型肺结核	精确匹配	100.0
消化不良	1	K30  02	消化不良	精确匹配	100.0
淋巴回流障碍	1	I89.804	淋巴回流障碍	精确匹配	100.0
淋巴肉瘤	1	C85.010	淋巴肉瘤	精确匹配	100.0
滑膜炎	1	M65.991	滑膜炎	精确匹配	100.0
甲状腺良性肿瘤	1	D34  02	甲状腺良性肿瘤	精确匹配	100.0
甲癣	1	B35.101	甲癣	精确匹配	100.0
畸胎瘤	1	M90800/1	畸胎瘤	精确匹配	100.0
病毒感染	1	B34.901	病毒感染	精确匹配	100.0
痛风	1	M10.991	痛风	精确匹配	100.0
皮肤感染性窦道	1	L08.803	皮肤感染性窦道	精确匹配	100.0
直肠膀胱阴道瘘	1	N82.301	直肠膀胱阴道瘘	精确匹配	100.0
眼睑水肿	1	H02.804	眼睑水肿	精确匹配	100.0
睾丸炎	1	N45.902	睾丸炎	精确匹配	100.0
神经痛	1	M79.291	神经痛	精确匹配	100.0
神经胶质瘤	1	M95050/1	神经胶质瘤	精确匹配	100.0
神经节细胞瘤	1	M94900/0	神经节细胞瘤	精确匹配	100.0
紫癜	1	D69.204	紫癜	精确匹配	100.0
细菌性阴道炎	1	N76.003	细菌性阴道炎	精确匹配	100.0
结缔组织恶性肿瘤	1	C49.902	结缔组织恶性肿瘤	精确匹配	100.0
结肠积气	1	K63.801	结肠积气	精确匹配	100.0
结膜炎	1	H10.901	结膜炎	精确匹配	100.0
继发性血小板增多症	1	D75.807	继发性血小板增多症	精确匹配	100.0
耳聋	1	H91.901	耳聋	精确匹配	100.0
耳鸣	1	H93.101	耳鸣	精确匹配	100.0
聋哑症	1	H91.301	聋哑症	精确匹配	100.0
肋骨恶性肿瘤	1	C41.301	肋骨恶性肿瘤	精确匹配	100.0
