# 知识图谱药品列表（共 3888 条）
# 格式：药品名称 | 出现频次 | 原始名称数量
维迪西妥单抗60MG加入200ML盐水静脉滴注 | 6 | 1
绵马贯众 | 6 | 1
胆南星颗粒 | 6 | 1
胸腔闭式引流术 | 6 | 1
脉络宁注射液 | 6 | 1
膀胱残余尿量测定 | 6 | 1
自由体位 | 6 | 1
芪冬颐心口服液 | 6 | 1
芪参益气滴丸 | 6 | 1
蔓荆子 | 6 | 1
血清α羟基丁酸脱氢酶测定 | 6 | 1
血清肌酸激酶－MB同工酶活性测定 | 6 | 1
血管鞘组 | 6 | 1
豆蔻颗粒 | 6 | 1
贝发珠单抗注射液400mg 加入100ml氯化钠注射液中静脉滴注 | 6 | 1
转入肿瘤内科停医嘱 | 6 | 1
达那唑胶囊 0.2 bid po | 6 | 1
透气敷贴 | 6 | 1
通络祛痛膏 | 6 | 1
重组人胰岛素针 | 6 | 1
钾测定 | 6 | 1
阿兹夫定片 | 6 | 1
阿胶颗粒 | 6 | 1
非诺贝特分散片 | 6 | 2
颅内多普勒血流图(TCD) | 6 | 1
骨肽注射液 | 6 | 1
鸡骨草 | 6 | 1
黄连颗粒 | 6 | 1
鼻炎康片 | 6 | 1
一次性三通 | 5 | 1
一次性使用造影导管 | 5 | 1
中药封包治疗(大) | 5 | 1
中药熏洗治疗(刺激脾、胃等足部穴区) | 5 | 1
亲水涂层导丝260CM | 5 | 1
人参颗粒 | 5 | 1
人干扰素α-2b粉针 | 5 | 1
人类白细胞抗原B27测定(HLA-B27) | 5 | 1
人血免疫球蛋白注射液 2.5 ivgtt | 5 | 1
伸筋草 | 5 | 1
北沙参颗粒 | 5 | 1
单磷酸阿糖腺苷针 | 5 | 1
可视喉镜辅助插管加收 | 5 | 1
吉西他滨针1.0入50ML生理盐水膀胱灌注 | 5 | 1
吸引连接管及吸引头 | 5 | 1
喷昔洛韦粉针剂 | 5 | 1
地榆生白片 4片 tid po | 5 | 1
奥硝唑栓 | 5 | 1
奥美拉唑肠溶胶囊 20mg bid p.o | 5 | 1
奥美拉唑针42.6mg | 5 | 1
姜半夏颗粒 | 5 | 1
威灵仙kl | 5 | 1
密紫苑 | 5 | 1
导管鞘 | 5 | 1
尿蛋白电泳分析 | 5 | 1
川木通 | 5 | 1
川牛膝颗粒 | 5 | 1
帕拉米韦氯化钠注射液 | 5 | 1
干姜颗粒 | 5 | 1
心包穿刺术 | 5 | 1
拟于今日下午在局部麻醉下行肺部肿物穿刺活检术。 | 5 | 1
拟今日局麻下行中心静脉穿刺术 | 5 | 1
拟今日局麻下行肿物穿刺活检术 | 5 | 1
拟定今日下午手术 | 5 | 1
接骨七厘丸 | 5 | 1
更换引流袋 | 5 | 1
更换胃管 | 5 | 1
替硝唑注射液 | 5 | 1
术前准备 | 5 | 1
梅毒两项 | 5 | 1
橘红颗粒 | 5 | 1
橘络 | 5 | 1
檀香 | 5 | 1
氯化钠注射液100ml | 5 | 1
泡沫辅料 | 5 | 1
流速容量曲线(V—V曲线) | 5 | 1
测血压q1h | 5 | 1
灯盏生脉胶囊 | 5 | 1
炙甘草颗粒 | 5 | 1
特瑞普利单抗160MG加入250ML生理盐水 | 5 | 1
特瑞普利单抗注射液(门特) | 5 | 1
独一味 | 5 | 1
玄参颗粒 | 5 | 1
环孢素胶囊 150mg bid po | 5 | 1
珍宝丸 | 5 | 1
琥珀酰明胶注射液 | 5 | 2
甲胎蛋白AFP测定(包括癌胚抗原CEA) | 5 | 1
病房加床 | 5 | 1
白芷颗粒 | 5 | 1
白蛋白20g ivgtt | 5 | 1
盐酸伊立替康 | 5 | 1
石菖蒲颗粒 | 5 | 1
石见穿 | 5 | 1
砂仁颗粒 | 5 | 1
硝酸异山梨酯片 | 5 | 1
硼替佐米2MG加入氯化钠250ML中 | 5 | 1
碳酸钙D3咀嚼片 1片 qd po | 5 | 1
精蛋白锌重组赖脯胰岛素混合注射液 | 5 | 1
红景天粉 | 5 | 1
红豆杉皮 | 5 | 1
维迪西妥单抗针2支加入0.9%氯化钠250ML静脉点滴 | 5 | 1
羟乙基淀粉130/0.4氯化钠注射液(天晴宁) | 5 | 1
胃蛋白酶原I/II测定 | 5 | 1
胞磷胆碱钠注射液 | 5 | 1
脑脊液常规与生化 | 5 | 1
舒肝颗粒 | 5 | 1
荆芥炭 | 5 | 1
荜拨 | 5 | 1
血塞通胶囊 | 5 | 2
血栓通针 | 5 | 1
血清肌酸激酶测定 | 5 | 1
血清肌钙蛋白Ⅰ测定 | 5 | 1
车前草kl | 5 | 1
转入重症医学科 | 5 | 1
逍遥丸 | 5 | 1
透明敷贴(10*15) | 5 | 1
酒乌梢蛇(酒乌蛇) | 5 | 1
醋酸泼尼松片 15mg qd po | 5 | 1
长春瑞滨软胶囊 | 5 | 1
阿得贝利单抗注射液1160MG加入200ML生理盐水 | 5 | 1
阿昔洛韦粉针 | 5 | 1
阿莫西林克拉维酸钾粉针已皮试 | 5 | 1
隐血试验 | 5 | 1
静脉高营养治疗费用 | 5 | 1
首乌藤kl | 5 | 1
麸炒芡实kl | 5 | 1
20%人血白蛋白针 50ml | 4 | 1
9%氯化钠100ml | 4 | 1
EB病毒抗体五项 | 4 | 1
一次性使用输液器 | 4 | 1
一次性手术敷料包 | 4 | 1
一次性活检穿刺针 | 4 | 1
一次性穿刺针 | 4 | 1
一次性肺穿刺活检针 | 4 | 1
一次性胰岛素笔配套用针 | 4 | 1
一次性透析用血液回路 | 4 | 1
一次性麻醉穿刺包 | 4 | 1
一清胶囊 | 4 | 1
丙型肝炎HCV病毒载量内标定量检测 | 4 | 1
严观生命体征 | 4 | 1
中药足浴治疗 | 4 | 1
丹参酮ⅡA磺酸钠注射液(国谈) | 4 | 1
乌苯美司胶囊 10mg tid po | 4 | 1
乌药kl | 4 | 1
乳腺肿物穿刺术 | 4 | 1
乳腺钼靶摄片 18×24吋 | 4 | 1
乳酸冶铁片 0.1 tid po | 4 | 1
云南白药胶囊0.5g tid po | 4 | 1
五倍子 | 4 | 1
优质蛋白饮食 | 4 | 1
伤科接骨片 | 4 | 1
低盐低脂优质低蛋白饮食 | 4 | 1
低盐低脂限蛋白饮食 | 4 | 1
依托泊苷注射液(自备)100mg 加入氯化钠250ml内静脉滴注 | 4 | 1
侧柏炭 | 4 | 1
全血肌钙蛋白T快速定量测定 | 4 | 1
冬葵子kl | 4 | 1
刀豆 | 4 | 1
医疗机构储血费 | 4 | 1
半枝莲颗粒 | 4 | 1
华蟾素胶囊 0.5 一日四次 po | 4 | 1
卡培他滨片 早1500mg 晚1500mg po | 4 | 1
参芪扶正注射液250ml | 4 | 1
司坦唑醇片 2mg bid po | 4 | 1
吗啡缓释片30mg q12h po | 4 | 1
吞咽功能障碍训练 | 4 | 1
吡拉西坦氯化钠注射液 | 4 | 1
吸入性已酰半胱氨酸溶液0.3 | 4 | 1
吸入用异丙托溴铵液0.5MG | 4 | 1
呼吸肌功能测定 | 4 | 1
多重耐药菌感染，接触隔离 | 4 | 1
多饮水 | 4 | 1
天竺黄kl | 4 | 1
奈替米星注射液 | 4 | 1
奥美拉唑胶囊 20mg bid po | 4 | 1
奥美拉唑针40mg | 4 | 1
导管冲洗器 Q12H | 4 | 1
尿α1微量球蛋白测定 | 4 | 1
尿微量白蛋白全定量测定 | 4 | 1
山楂炭 | 4 | 1
川芎粉 | 4 | 1
川贝母颗粒 | 4 | 1
左乙拉西坦注射用浓溶液 | 4 | 1
己酮可可碱缓释片 | 4 | 1
帕托珠单抗420MG加入氯化钠250中 | 4 | 1
幽门螺旋杆菌抗体测定 | 4 | 1
当归尾 | 4 | 1
当归破壁饮片 | 4 | 1
彩色打印照片 | 4 | 1
心可舒胶囊 | 4 | 1
拔出腹腔引流管 | 4 | 1
拔尿管 | 4 | 1
拔除腹腔引流管 | 4 | 1
拟于今日下午在局麻下行胆汁引流管置管术 | 4 | 1
拟今日下午下行食管造影空肠营养管置入术 | 4 | 1
拟今日局麻下行肺支气管动脉灌注栓塞术 | 4 | 1
拟明日局麻下行肝介入栓塞术 | 4 | 1
放线菌素1支加入氯化钠250ML中 | 4 | 1
斯鲁利单抗200MG，加入氯化钠100MG | 4 | 1
明胶海绵 | 4 | 1
普通短效胰岛素6U三餐前 | 4 | 1
普通短效胰岛素8U三餐前 | 4 | 1
普通颈椎病推拿治疗 | 4 | 1
替吉奥胶囊 40mg bid po | 4 | 1
替雷利珠单抗200MG加入100ML氯化钠中 | 4 | 1
术后按摩双下肢 | 4 | 1
来曲唑片 2.5mg qd po | 4 | 1
枇杷叶 | 4 | 1
梅毒螺旋体特异抗体测定 | 4 | 1
气管导管7.5# | 4 | 1
气管插管术 | 4 | 1
气道阻力测定 | 4 | 1
氟康唑氯化钠注射液(喜欣舒) | 4 | 1
氯吡格雷片首次300mg | 4 | 1
氯唑沙宗片 | 4 | 1
氯测定 | 4 | 1
注射用曲妥珠单抗360mg 加入氯化钠注射液250ml内静脉滴注 | 4 | 1
注射用曲妥珠单抗465mg 加入氯化钠注射液100ml内静脉滴注 | 4 | 1
活心丸 | 4 | 1
派安普利单抗注射液200MG加入200ML盐水中 | 4 | 1
灸法治疗 1次/日(天枢穴、中脘穴、神阙穴) | 4 | 1
炒僵蚕 | 4 | 1
煨肉豆蔻kl | 4 | 1
独活kl | 4 | 1
环孢霉素测定 | 4 | 1
琥珀酸亚铁片 0.2 tid po | 4 | 1
甲磺酸奥希替尼片(国谈) | 4 | 1
电极片 3个 | 4 | 1
留置尿管 | 4 | 1
白附片 | 4 | 1
益气复脉粉针(国谈) | 4 | 1
盐酸二甲双胍缓释片(III)(国谈) | 4 | 1
盐酸羟考酮注射液 | 4 | 1
盐酸羟考酮缓释片 30mg q12h po | 4 | 1
盐酸羟考酮缓释片 80mg q12h po | 4 | 1
盐酸马尼地平片 | 4 | 1
督灸 | 4 | 1
石榴皮 | 4 | 1
硝苯地平(心痛定)片 | 4 | 1
硫酸氨基葡萄糖胶囊 | 4 | 1
穴位贴服(脐部) | 4 | 1
空心纤维血液透析器FX8 | 4 | 1
空肠营养管 | 4 | 1
第一秒平静吸气口腔闭合压测定 | 4 | 1
红花注射液 | 4 | 1
经皮穿刺置管注药术 | 4 | 1
维迪西妥单抗120MG加入250ML盐水静脉滴注 | 4 | 1
羟苯磺酸钙胶囊 | 4 | 1
耳聋左慈丸 | 4 | 1
耳针治疗(取穴：头晕、晕点、眼等耳部穴位) | 4 | 1
脑安片 | 4 | 1
花椒 | 4 | 1
草果仁 | 4 | 1
藁本kl | 4 | 1
蜈蚣颗粒 | 4 | 1
蜜黄芪 | 4 | 1
血余炭 | 4 | 1
血小板相关免疫球蛋白(PAIg)测定 | 4 | 1
血栓心脉宁胶囊 | 4 | 1
血液透析 | 4 | 1
血清低密度脂蛋白胆固醇测定 | 4 | 1
血清总胆固醇测定 | 4 | 1
血清甘油三酯测定 | 4 | 1
血清载脂蛋白AⅠ测定 | 4 | 1
血清载脂蛋白B测定 | 4 | 1
血清酸化溶血试验(Ham) | 4 | 1
血清高密度脂蛋白胆固醇测定 | 4 | 1
血透监测 | 4 | 1
转重症监护室 | 4 | 1
透明敷料 | 4 | 1
造影导管(埃普特) | 4 | 1
重组甘精胰岛素针 | 4 | 1
钙测定 | 4 | 1
钩藤颗粒 | 4 | 1
银杏蜜环口服液 | 4 | 1
门冬酰胺酶粉针 | 4 | 1
阿帕替尼片 250mg qd po(自备) | 4 | 1
阿芬太尼注射液 | 4 | 1
阿莫西林针再次皮试 (-) | 4 | 1
颈舒颗粒 | 4 | 1
香橼kl | 4 | 1
骨髓细胞染色体核型分析 | 4 | 1
麻仁软胶囊 1.2g bid po | 4 | 1
黄精颗粒 | 4 | 1
9%氯化钠注射液100ml | 3 | 1
9氯化钠针500ml | 3 | 1
T790M | 3 | 1
一次性使用鼻胃肠管 | 3 | 1
一次性引流袋 | 3 | 1
一次性无菌穿刺枪 | 3 | 1
三七 | 3 | 1
三角垫 | 3 | 1
丙帕他莫粉针 | 3 | 1
丙肝病毒基因分型 | 3 | 1
中心静脉穿刺包 | 3 | 1
中药塌渍治疗 | 3 | 1
乌灵胶囊 | 3 | 2
九节菖蒲kl | 3 | 1
二甲双胍片(进口) | 3 | 1
二羟丙茶碱片 | 3 | 1
人免疫球蛋白 2.5g/瓶 静脉滴注 | 3 | 1
人工煎药3付 | 3 | 1
人血白蛋白20%，10g，ivgtt，qd (自备) | 3 | 1
仙鹤草(集) | 3 | 1
伊立替康脂质体注射液75.32mg ivgtt加入0.9%氯化钠250ML | 3 | 1
依托泊苷针0.1G，加入250氯化钠中 | 3 | 1
依托泊苷针100mg，静滴qd | 3 | 1
依达拉奉针30加入200ML氯化钠 | 3 | 1
保留尿管48小时 | 3 | 1
信迪利单抗注射液 200mg 加入氯化钠250ml内静脉滴注 | 3 | 1
信迪利单抗注射液10ml：100mg ivgtt | 3 | 1
免疫六项 | 3 | 1
六味地黄丸 每次8丸 tid po | 3 | 1
冬凌草 | 3 | 1
冰片 | 3 | 1
冲洗结膜囊 | 3 | 1
利培酮片 | 3 | 1
制何首乌颗粒 | 3 | 1
单硝酸异山梨酯注射液 | 3 | 1
卡培他滨片 早2000mg 晚2000mg po | 3 | 1
卡瑞丽珠单抗注射液200mg (自备)加入200ml氯化钠注射液中静脉滴注 | 3 | 1
卡瑞利珠单抗注射液200mg 加入100ml氯化钠注射液中静脉滴注 | 3 | 1
卡铂0.1入0.9%氯化钠针250ML静脉点滴 | 3 | 1
厄贝沙坦片 | 3 | 1
双人间(普通病房) | 3 | 1
右旋糖酐铁口服液 | 3 | 1
司坦唑醇片 4mg bid po | 3 | 1
吗啡缓释片 20mg q12h po | 3 | 1
地氯雷他定分散片 | 3 | 1
地肤子kl | 3 | 1
地舒单抗120MG | 3 | 1
多柔比星脂质体20mg(自备)加入氯化钠250ml内静脉滴注 | 3 | 1
多柔比星脂质体30mg(自备)加入氯化钠250ml内静脉滴注 | 3 | 1
大蓟颗粒 | 3 | 1
大青叶kl | 3 | 1
头孢克洛颗粒 | 3 | 1
头孢唑林钠粉针 | 3 | 1
奥拉帕利片(国谈) | 3 | 1
姜竹茹颗粒 | 3 | 1
导管固定器 PRN | 3 | 1
山药颗粒 | 3 | 1
布洛芬缓释混悬液 | 3 | 1
平衡火罐 | 3 | 1
引流管引流 | 3 | 1
恩替卡韦分散片 0.5mg qd po | 3 | 1
拜阿司匹林300mg | 3 | 1
拟于今日上午行肺穿刺活检术 | 3 | 1
拟于今日下午行肺穿刺活检术 | 3 | 1
拟于今日行心包穿刺置管术 | 3 | 1
拟于今日行经腔插管造影及食管支架置入术 | 3 | 1
拟今日下午局麻下行肺穿刺活检术 | 3 | 1
拟今日局麻下午行肺穿刺活检术 | 3 | 1
拟今日局麻下行中心静脉穿刺置管术 | 3 | 1
拟今日局麻下行盆腔穿刺活检术 | 3 | 1
拟今日局麻下行粒子植入术 | 3 | 1
拟今日局麻下行粒子置入术 | 3 | 1
拟今日局麻下行静脉港取出术 | 3 | 1
支气管舒张试验 | 3 | 1
新冠核酸检测(单采) | 3 | 1
普乐安胶囊 | 3 | 1
替雷利珠单抗200MG中加入氯化钠100ML中 | 3 | 1
替雷利珠单抗200MG加入100ML盐水中 | 3 | 1
替雷利珠单抗加入100ML盐水中 | 3 | 1
木鳖子仁 | 3 | 1
本唑西林钠皮试 | 3 | 1
术后医嘱 | 3 | 1
染色体分析 | 3 | 1
柴胡颗粒 | 3 | 1
栀子颗粒 | 3 | 1
橘核 | 3 | 1
橘络kl | 3 | 1
正清风痛宁片 | 3 | 1
氟尿嘧啶粉针 | 3 | 1
氟康唑片(纳威) | 3 | 1
氟达拉滨注射液50mg 加入氯化钠250ml内静脉滴注 | 3 | 1
水胶体敷料(双侧固定) | 3 | 1
泡沫敷料12.5*12.5CM | 3 | 1
注射用曲妥珠单抗300mg 加入氯化钠注射液100ml内静脉滴注 | 3 | 1
注射用曲妥珠单抗450mg 加入氯化钠注射液150ml内静脉滴注 | 3 | 1
注射用艾普拉唑钠10mg 加入氯化钠100ml内静脉滴注 | 3 | 1
泽兰kl | 3 | 1
活血止痛胶囊 | 3 | 1
派胺普利单抗注射液200MG加入200ML盐水中静滴 | 3 | 1
测血压q4h | 3 | 1
测血压每日两次 | 3 | 1
海风藤 | 3 | 1
清半夏颗粒 | 3 | 1
灸法治疗 1次(天枢、中脘、神阙) | 3 | 1
炒王不留 | 3 | 1
烫水蛭 | 3 | 1
烫水蛭颗粒 | 3 | 1
煅牡蛎颗粒 | 3 | 1
煅石决明kl | 3 | 1
牡蛎颗粒 | 3 | 1
物理降温 | 3 | 1
特瑞普利单抗160MG加入氯化钠100ML中 | 3 | 1
特瑞普利单抗注射液240MG 加入氯化钠250ML内IVGTT | 3 | 1
珍珠母kl | 3 | 1
琥珀kl | 3 | 1
甘舒霖胰岛素早10U，晚10U | 3 | 1
甘舒霖胰岛素注射液早餐前18u、晚餐前18u | 3 | 1
甘舒霖胰岛素注射液早餐前20u、晚餐前20u | 3 | 1
留置胃管饮食 | 3 | 1
病理大体标本摄影 | 3 | 1
白及kl | 3 | 1
白带五联检 | 3 | 1
白术颗粒 | 3 | 1
白芨 | 3 | 1
白鲜皮 | 3 | 1
白鲜皮kl | 3 | 1
盐酸羟考酮缓释片 10mg q12h po | 3 | 1
石斛颗粒 | 3 | 1
硝呋太尔制霉素阴道软胶囊 | 3 | 2
粪便隐血定量检测 | 3 | 1
红曲粉 | 3 | 1
红细胞流变特性检测 | 3 | 1
络石藤 | 3 | 1
绝对卧床休息 | 3 | 1
维生素B6注射液(华意) | 3 | 1
维迪西妥单抗1支加入氯化钠250ML中 | 3 | 1
维迪西妥单抗60MG加入250ML盐水静脉滴注 | 3 | 1
罗普司亭1支皮下 | 3 | 1
美托洛尔注射液 | 3 | 1
羟基脲片0.5 bid po | 3 | 1
耳针(刺激脾、胃、大肠区) | 3 | 1
聚乙二醇护创液体敷料 | 3 | 1
肝素钠封管注射液(备选) | 3 | 1
肝纤维化四项 | 3 | 1
肺癌靶向用药10基因ctDNA检测(血液) | 3 | 1
胰岛素晚12u 早14U | 3 | 1
胸腔灌注化疗 | 3 | 1
脓肿切开引流术 | 3 | 1
脱落细胞学 | 3 | 1
膀胱穿刺造瘘术 | 3 | 1
自备长春地辛4mg | 3 | 1
舒筋活血片 | 3 | 1
艾叶 | 3 | 1
艾司洛尔注射液 | 3 | 1
萹蓄 | 3 | 1
蜂房kl | 3 | 1
蜈黛软膏 | 3 | 1
蜜百合kl | 3 | 1
螺内酯片 100mg qd | 3 | 1
西妥昔单抗900MG加入氯化钠250ML中 | 3 | 1
西洋参颗粒 | 3 | 1
贝伐单抗400mg(自备)加入氯化钠250ml内静脉滴注 | 3 | 1
转ICU病房 | 3 | 1
转妇产科 | 3 | 1
输注B型RH阳性 去白悬浮红细胞2U | 3 | 1
达立通颗粒 | 3 | 1
连接管(迪马克) | 3 | 1
通心络胶囊 | 3 | 1
醋酸泼尼松片 30mg qd po | 3 | 1
醛固酮测定 | 3 | 1
重组人粒细胞刺激因子针 150ug ih(自备) | 3 | 1
重组人粒细胞刺激因子针 200ug ih | 3 | 1
钆特酸葡胺注射液(国十) | 3 | 1
钠测定 | 3 | 1
长秀霖注射液 | 3 | 1
防逆流引流袋 | 3 | 1
阿莫西林克拉维酸钾干混悬剂 | 3 | 1
阿莫西林克拉维酸钾片 | 3 | 1
附片颗粒 | 3 | 1
雄黄 | 3 | 1
青霉素类皮试 | 3 | 1
鞘内注射 | 3 | 1
预冲式导管冲洗器 | 3 | 1
食管支架 | 3 | 1
香薷kl | 3 | 1
骨髓活检包1个 | 3 | 1
麝香壮骨膏 | 3 | 1
麻仁软胶囊 1.2mg tid po | 3 | 1
黄芪颗粒 | 3 | 1
"眼轴测量" | 2 | 1
(自备)长春瑞滨40MG加入氯化钠注射液250ml内静脉滴注 | 2 | 1
5%葡萄糖注射液150ml | 2 | 1
5%葡萄糖注射液500ml | 2 | 1
9%氯化钠150ml | 2 | 1
ANCA谱定量测定 | 2 | 1
一次性中心静脉导管及附件包 | 2 | 1
一次性使用导管鞘套装 | 2 | 1
一次性使用尿袋 | 2 | 1
一次性使用引流导管及附件 | 2 | 1
一次性使用连接管 | 2 | 1
一次性喉镜镜片 | 2 | 1
一次性手术衣1套 | 2 | 1
一次性无损伤吸痰管 | 2 | 1
一次性鼻胃肠管 | 2 | 1
不能饮食 | 2 | 1
丙种球蛋白针5g IVGTT st | 2 | 1
严观阴道出血及生命体征 | 2 | 1
中草药日1剂 | 2 | 1
中药硬膏热贴敷治疗(取穴期门、中脘) | 2 | 1
乌梅kl | 2 | 1
乙型肝炎病毒基因YMDD变异测定 | 2 | 1
乙酰谷酰胺注射液 | 2 | 1
九节菖蒲 | 2 | 1
九项监测 | 2 | 1
二十四小时动态心电血压二合一 | 2 | 1
云南白药胶囊 0.25 tid po | 2 | 1
亚低温治疗 | 2 | 1
交叉配血实验(输血用) | 2 | 1
人乳头瘤状病毒分型检测 | 2 | 1
人免疫球蛋白 1瓶 ivgtt (自备) | 2 | 1
人免疫球蛋白 300毫克/瓶 | 2 | 1
人工晶体度数测量 | 2 | 1
人粒细胞刺激因子针 150ug iH | 2 | 1
人血白蛋白20g | 2 | 1
人血白蛋白注射液10g q12h | 2 | 1
今日转入消化科 | 2 | 1
伏立康唑片200mg 静脉滴注 | 2 | 1
优质低蛋白饮食 | 2 | 1
低盐低碘饮食 | 2 | 1
佛手丝 | 2 | 1
佛手颗粒 | 2 | 1
使用微量泵泵入 | 2 | 1
依托泊苷针 | 2 | 1
依托泊苷针0.1G | 2 | 1
依托泊苷针100MG 加入氯化钠250ML静脉滴注 | 2 | 1
依托泊苷针100mg(自备)，静滴qd | 2 | 1
依托铂苷注射液(自备)0.1加入氯化钠注射液150ML内静脉滴注 | 2 | 1
依那普利片 5mg qd po | 2 | 1
促红细胞生成素6000U(自备)加入氯化钠100ML 静脉滴注 | 2 | 1
促红细胞生成素6000U(自备)加入氯化钠100ML静脉滴注 | 2 | 1
信达利单抗注射液 (自备) 200mg 加入氯化钠250ml内静脉滴注 | 2 | 1
信达利单抗注射液 100mg 加入氯化钠250ml内静脉滴注 | 2 | 1
信达利单抗注射液 200mg 加入氯化钠250ml内静脉滴注维持90分钟 | 2 | 1
信达利单抗注射液(自备)200mg 加入氯化钠250ml内静脉滴注 | 2 | 1
克林霉素磷酸酯注射液 | 2 | 1
冰片(合成龙脑) | 2 | 1
冰珍清目滴眼液 | 2 | 1
制吴茱萸颗粒 | 2 | 1
制川乌 | 2 | 1
制草乌 | 2 | 1
前列腺特异性抗原PSA | 2 | 1
前列舒通1.2 tid po | 2 | 1
前房深度测量 | 2 | 1
勿下床避免外伤 | 2 | 1
匹伐他汀片 2mg qn po | 2 | 1
匹伐他汀钙片4mg qd po | 2 | 1
十项检测(输血用) | 2 | 1
卡培他滨片 早1000mg 晚1000mg po | 2 | 1
卡培他滨片 早1000mg 晚500mg po | 2 | 1
压力延长管 | 2 | 1
压疮贴2个 | 2 | 1
去枕平卧位6小时 | 2 | 1
参芪扶正针250ML ivgtt | 2 | 1
取消上组白蛋白医嘱 | 2 | 1
可待因片 30mg tid po | 2 | 1
吞咽功能障碍评定 | 2 | 1
吞咽困难 | 2 | 1
吡诺克辛钠滴眼液 | 2 | 1
和血明目片 | 2 | 1
唑来磷酸4mg 加入氯化钠注射液100ml ivgtt | 2 | 1
嘱患者多饮水 | 2 | 1
四肢关节造影 | 2 | 1
四项检测(定量测定) | 2 | 1
在局部浸润麻醉下行右侧腹股沟斜疝无张力修补术 | 2 | 1
地榆生白片 3片 tid po | 2 | 1
地舒单抗1支皮下 | 2 | 1
地舒单抗注射液1支 | 2 | 1
地西泮注射液 自备 静推 | 2 | 1
坎地沙坦酯片(搏力高) | 2 | 1
复方氨基酸针500静脉点滴 | 2 | 1
夏枯草颗粒 | 2 | 1
外阴良性肿物切除术 | 2 | 1
多柔比星脂质体20mg 加入250ml葡萄糖注射液静脉滴注 | 2 | 1
多柔比星脂质体30mg 加入250ml葡萄糖注射液中静脉滴注 | 2 | 1
多柔比星脂质体60MG加入5%葡萄糖中 | 2 | 1
多柔比星脂质体60mg(自备)加入氯化钠500ml内静脉滴注 | 2 | 1
大血藤kl | 2 | 1
大青叶 | 2 | 1
大黄炭kl | 2 | 1
大黄颗粒 | 2 | 1
天葵子kl | 2 | 1
头孢他啶过敏 | 2 | 1
头孢呋辛钠针(欧意) | 2 | 1
头孢哌酮他唑巴坦皮试 | 2 | 1
头孢哌酮舒巴坦3.0g q12h | 2 | 1
头孢哌酮针不皮试 | 2 | 1
头孢类皮试 | 2 | 1
头孢美唑皮试 | 2 | 1
夹子装置(大) | 2 | 1
奥拉帕利片 | 2 | 1
安宫牛黄丸 | 2 | 1
富马酸奥赛利定注射液 | 2 | 1
导管冲洗器Q6H | 2 | 1
导管冲洗器一次 | 2 | 1
尼托珠单抗200MG加入氯化钠250ML中 | 2 | 1
尿管定时开放 | 2 | 1
局麻下中心静脉置管术 | 2 | 1
川木通kl | 2 | 1
布洛芬片 | 2 | 1
广藿香颗粒 | 2 | 1
弹性绷带 | 2 | 1
彩色胶片照相 | 2 | 1
德曲妥珠单抗300MG加入葡萄糖100ML中 | 2 | 1
心率变异性分析 | 2 | 1
心脏电除颤术 | 2 | 1
念珠菌镜检 | 2 | 1
恩替卡韦0.5mg qd po | 2 | 1
抗人绒毛膜促性腺激素抗体(AHCGAb)测定 | 2 | 1
抗链球菌溶血素O测定(AsO)(定量) | 2 | 1
拔除PICC管 | 2 | 1
拔除气管插管 | 2 | 1
拔除盆腔引流管 | 2 | 1
拟于今日下午4：00在局麻下行肺穿刺活检术 | 2 | 1
拟于今日下午在局部麻醉下行介入化疗栓塞术 | 2 | 1
拟于今日下午在局部麻醉下行肝脏肿物穿刺活检术。 | 2 | 1
拟于今日下午在局麻下行肿瘤碘125-粒子植入术 | 2 | 1
拟今日局麻下行中心静脉置管术 | 2 | 1
拟今日局麻下行右锁骨下动脉穿刺术 | 2 | 1
拟今日局麻下行左侧颈部肿块穿刺活检术 | 2 | 1
拟今日局麻下行经皮肝穿刺胆道置管术 | 2 | 1
拟今日局麻下行肝胃介入灌注栓塞术 | 2 | 1
拟今日局麻下行肺穿刺引流术 | 2 | 1
拟今日局麻下行胸背部肿物穿刺活检术 | 2 | 1
拟今日局麻下行锁骨下静脉穿刺置管术 | 2 | 1
拟今日局麻下行颌下淋巴结穿刺活检术 | 2 | 1
拟定于今日下午行PICC置管术 | 2 | 1
拟定今日下午在局麻下行粒子植入术 | 2 | 1
拟明日上午局麻下行肝介入栓塞术 | 2 | 1
放血疗法 | 2 | 1
新型冠状病毒核酸检测 | 2 | 1
旋复花kl | 2 | 1
无散瞳眼底照相 | 2 | 1
明晨查 | 2 | 1
普通短效胰岛素4U | 2 | 1
普通肩周炎推拿治疗 | 2 | 1
暂禁饮食 | 2 | 1
曲氟尿苷替匹嘧啶片20mg po qd | 2 | 1
更换负压引流器 | 2 | 1
替罗非班氯化钠注射液 | 2 | 1
替雷利单抗注射液200mg 加入100ml氯化钠注射液中静脉滴注 | 2 | 1
替雷利珠单抗200MG加入100ML盐水静脉滴注 | 2 | 1
替雷利珠单抗注射液 (自备) 200mg 加入氯化钠250ml内静脉滴注 | 2 | 1
替雷利珠单抗注射液(门特) | 2 | 1
木蝴蝶kl | 2 | 1
木香颗粒 | 2 | 1
朱砂粉 | 2 | 1
格列喹酮片 | 2 | 1
格列齐特片80mg qd po | 2 | 1
桑叶颗粒 | 2 | 1
植入式给予装置 | 2 | 1
槐米 | 2 | 1
氨溴索粉针60 | 2 | 1
氯化钾10ml加0.9%氯化钠液体500ml中 | 2 | 1
氯化钾缓释片 1.0g bid p.o | 2 | 1
