# 知识图谱疾病/病症列表 - 中医证型（共 364 条）
# 格式：名称 | 来源 | 频次
结肠占位，气虚痰结证 | admission | 2
肝火上扰证 | admission | 2
肝火上炎证 | admission | 2
肝积，气血亏虚证 | admission | 2
肝肾亏虚证 | admission | 2
肺气不足证 | admission | 2
肺气虚耗证 | admission | 2
肺积痰浊瘀肺证 | admission | 2
肺积，气阴两虚证，本病病位在肺，为本虚标实之证 | admission | 2
肺积，湿热蕴结证。本病病位在大肠，与脾胃关系也极为密切，为本虚标实之证 | admission | 2
肺积，痰瘀互结型 | admission | 2
肺积，痰瘀阻滞证 | admission | 2
肺肾气虚型 | admission | 2
肺胀肺肾气虚证 | admission | 2
肺郁痰瘀证 | admission | 2
肾癌，气血双亏，本病病位在肾，为气血亏虚之证 | admission | 2
肾虚血瘀证 | admission | 2
胃癌，正虚瘀结证，为本虚标实之证 | admission | 2
胃阴不足证 | admission | 2
胆囊癌，湿热蕴结证 | admission | 2
胆囊癌，热毒内蕴证 | admission | 2
胆囊癌，痰瘀互结证 | admission | 2
脾肺气虚证 | admission | 2
脾肾两虚型 | admission | 2
脾肾亏虚症 | admission | 2
萎证 | admission | 2
血症、正虚毒蕴证 | admission | 2
血症、气虚亏虚证 | admission | 2
血症、阴虚型 | admission | 2
血症、阴虚火旺证 | admission | 2
血证、气血两虚证 | admission | 2
血证、气血亏虚症 | admission | 2
血证、肝肾阴虚型 | admission | 2
阴虚火旺型 | admission | 2
阴虚火旺证 | admission | 2
阴虚阳亢证 | admission | 2
颤症 | admission | 2
颤证 | admission | 2
风寒湿证 | admission | 2
风痰瘀阻证 | admission | 2
食管占位，气阴两虚证，为本虚标实之证 | admission | 2
中风 中经络 阴虚血瘀证 | admission | 1
中风，中经络，风痰入络证 | admission | 1
乳腺癌，气虚痰结证，为本虚标实之证 | admission | 1
乳腺癌，脾虚肝郁证 | admission | 1
喘证、水饮凌心证 | admission | 1
喘证、痰浊阻肺证 | admission | 1
喘证、痰湿蕴肺证 | admission | 1
喘证、肺气郁闭证 | admission | 1
喘证痰浊阻肺证 | admission | 1
嗝噎，正虚毒结证，为本虚标实之证 | admission | 1
宫颈癌，脾胃亏虚证 | admission | 1
心悸 气亏血瘀证 | admission | 1
心脾两虚证 | admission | 1
恶性肿瘤，气血瘀结证 | admission | 1
本虚标实之症 | admission | 1
气亏血瘀证 | admission | 1
气阴两虚之证 | admission | 1
痰浊痹阻证 | admission | 1
痹症、寒湿痹阻证 | admission | 1
痹证、风寒湿痹阻证 | admission | 1
瘀证 | admission | 1
瘀证、热毒内蕴证 | admission | 1
癌，气滞水停证，为本虚标实之证 | admission | 1
积症、正虚毒结症 | admission | 1
积聚症 | admission | 1
积聚症、痰瘀互结证 | admission | 1
积聚证 | admission | 1
积聚证、阴液亏虚证 | admission | 1
积聚，热毒内蕴证 | admission | 1
积聚，痰瘀互结证 | admission | 1
积聚，脾虚肝郁证，为本虚标实之证 | admission | 1
积证、热毒淤滞证 | admission | 1
积证、脾胃亏虚证 | admission | 1
积证、脾虚湿蕴证 | admission | 1
积证，痰瘀互结证，为本虚标实之证 | admission | 1
绒毛膜癌，正虚毒结证 | admission | 1
肉瘤，气血两虚证 | admission | 1
肝胆管恶性肿瘤，气滞湿阻证 | admission | 1
肺占位性病变，痰瘀互结证 | admission | 1
肺占位，气阴两虚证，本病病位在肺，为本虚标实之证 | admission | 1
肺气郁闭证 | admission | 1
肺积，痰瘀互结证，本病病位在肺，与脾胃关系也极为密切，为本虚标实之证 | admission | 1
肾癌，气血双亏，本病病位在肾，为气阴两虚之证 | admission | 1
肾阴虚型 | admission | 1
胆囊癌，肝郁气滞，为本虚标实之证 | admission | 1
胆管癌，肝郁气滞，为本虚标实之证 | admission | 1
胰腺肿瘤，痰瘀互结证 | admission | 1
胸痹 痰浊痹阻证 | admission | 1
膀胱癌，脾气虚弱证，本病病位在肾脏，为本虚标实之证 | admission | 1
虚亏虚型 | admission | 1
虚劳，肾阴虚证，为虚证 | admission | 1
血症、心脾两虚证 | admission | 1
血症、气血瘀滞证 | admission | 1
血症、肝肾阴虚证 | admission | 1
血症、肾阴虚型 | admission | 1
血症、虚亏虚型 | admission | 1
血癌，正虚毒蕴证，为本虚标实之症 | admission | 1
血证、肾阴虚证 | admission | 1
血证、脾肾阳虚之证 | admission | 1
辨病辨证 | admission | 1
辨病辨证、肝郁脾虚证 | admission | 1
风寒湿痹阻证 | admission | 1
食管癌，气阴两虚证，本病病位在肺，为本虚标实之证 | admission | 1
黑色素瘤，湿毒蕴结证，为本虚标实之证 | admission | 1
